UID,Generation,Cost,Parent_A,Parent_B
chrom_0c0515df,9,157014.5454,chrom_3e389109,chrom_20139926
chrom_adf0534d,9,157859.3703,chrom_fffccc29,chrom_9566411f
chrom_aeb6f783,9,158518.0593,chrom_3745f85d,chrom_fffccc29
chrom_31cc92ac,9,159037.7915,chrom_3745f85d,chrom_5fae1dc4
chrom_3b1515e1,9,161449.0313,chrom_fffccc29,chrom_eb3f3fcd
chrom_f0f66af4,9,167972.6084,chrom_20139926,chrom_fffccc29
chrom_31baa835,9,170850.9546,chrom_3745f85d,chrom_20139926
chrom_0305eba1,9,177891.0686,chrom_3745f85d,chrom_fffccc29
chrom_3e389109,8,145060.5421,chrom_61e32095,chrom_ed16ea6f
chrom_3745f85d,8,149017.2824,chrom_fffccc29,chrom_b197cf15
chrom_fa0baccb,10,154889.7144,chrom_31cc92ac,chrom_3b1515e1
chrom_dff37c0a,10,158667.498,chrom_3745f85d,chrom_adf0534d
chrom_92cfc5b9,10,159077.9883,chrom_3e389109,chrom_0c0515df
chrom_c81007bf,10,162556.3554,chrom_aeb6f783,chrom_3b1515e1
chrom_93954c7e,10,163148.0082,chrom_aeb6f783,chrom_3b1515e1
chrom_42f50701,10,163794.9212,chrom_0c0515df,chrom_aeb6f783
chrom_ac992565,10,171029.9656,chrom_adf0534d,chrom_f0f66af4
chrom_4abff014,10,172298.1958,chrom_3e389109,chrom_31cc92ac
chrom_3e389109,8,145060.5421,chrom_61e32095,chrom_ed16ea6f
chrom_3745f85d,8,149017.2824,chrom_fffccc29,chrom_b197cf15
chrom_f40f3e7c,11,163593.1338,chrom_fa0baccb,chrom_93954c7e
chrom_ca408ef6,11,164350.5059,chrom_3e389109,chrom_fa0baccb
chrom_093ec6ec,11,165070.2862,chrom_3e389109,chrom_fa0baccb
chrom_460b19bd,11,165150.1414,chrom_3e389109,chrom_3745f85d
chrom_798ec600,11,165885.0225,chrom_3e389109,chrom_dff37c0a
chrom_f8f1b6cf,11,166984.8274,chrom_dff37c0a,chrom_93954c7e
chrom_c34ba7d6,11,171884.7667,chrom_3e389109,chrom_fa0baccb
chrom_417a29bc,11,174145.6467,chrom_3745f85d,chrom_fa0baccb
chrom_3e389109,8,145060.5421,chrom_61e32095,chrom_ed16ea6f
chrom_3745f85d,8,149017.2824,chrom_fffccc29,chrom_b197cf15
chrom_3418b3cf,12,154788.771,chrom_f40f3e7c,chrom_f8f1b6cf
chrom_cbe3e06b,12,156559.627,chrom_093ec6ec,chrom_f8f1b6cf
chrom_f07a9d47,12,159447.5669,chrom_798ec600,chrom_f8f1b6cf
chrom_a2b16d96,12,162521.3321,chrom_ca408ef6,chrom_093ec6ec
