Generation,Global_Best_Cost,Population_Mean_Cost,Active_Mutation_Rate,Stagnation_Counter
2,14081.7262,14462.7226,0.775,0
3,14081.7262,14251.4572,0.75,1
4,14081.7262,14249.1351,0.7256,2
5,14081.7262,14278.9367,0.7024,3
6,14081.7262,14195.6274,0.6805,4
7,14081.7262,14184.9296,0.6598,5
8,14081.7262,14177.6048,0.6403,6
9,14081.7262,14173.6541,0.622,7
10,14040.7465,14158.6065,0.6049,0
11,14040.7465,14135.3256,0.55,1
12,14040.7465,14065.4471,0.5256,2
13,14027.89,14038.718,0.5024,0
14,14027.89,14034.1182,0.475,1
15,13673.6815,13984.681,0.4506,0
16,13673.6815,13933.6841,0.425,1
17,13673.6815,13797.929,0.4006,2
18,13655.0843,13671.8218,0.3774,0
19,13655.0843,13668.1023,0.35,1
20,13655.0843,13660.6634,0.3256,2
