UID,Generation,Cost,Parent_A,Parent_B
chrom_b655ce47,0,14277.279,NONE,NONE
chrom_8f0c6454,0,14389.2219,NONE,NONE
chrom_7d1ad146,0,14490.6086,NONE,NONE
chrom_a334f0c0,0,14504.4793,NONE,NONE
chrom_a3f863f6,0,14692.1749,NONE,NONE
chrom_caa218ac,0,14866.1857,NONE,NONE
chrom_fcd25b77,0,14883.5254,NONE,NONE
chrom_cc5448ac,0,14890.4457,NONE,NONE
chrom_345f42ad,0,14910.1392,NONE,NONE
chrom_5f48e61c,0,15542.633,NONE,NONE
chrom_4526dc02,1,14081.7262,chrom_b655ce47,chrom_a3f863f6
chrom_bcdc6d0b,1,14195.3812,chrom_b655ce47,chrom_fcd25b77
chrom_cf50636f,1,14195.3812,chrom_b655ce47,chrom_fcd25b77
chrom_d2eb7e5d,1,14249.2586,chrom_b655ce47,chrom_a334f0c0
chrom_2d76858e,1,14251.4722,chrom_8f0c6454,chrom_7d1ad146
chrom_b655ce47,0,14277.279,NONE,NONE
chrom_f6f7d4bf,1,14438.1283,chrom_cc5448ac,chrom_345f42ad
chrom_ada92a31,1,14922.0455,chrom_fcd25b77,chrom_cc5448ac
chrom_c7e9c39b,1,14997.2956,chrom_a3f863f6,chrom_cc5448ac
chrom_43b071e0,1,15019.258,chrom_7d1ad146,chrom_a3f863f6
chrom_4526dc02,1,14081.7262,chrom_b655ce47,chrom_a3f863f6
chrom_060a6e6b,2,14170.7842,chrom_cf50636f,chrom_d2eb7e5d
chrom_c7e23624,2,14184.0033,chrom_bcdc6d0b,chrom_cf50636f
chrom_27031a85,2,14195.3812,chrom_4526dc02,chrom_cf50636f
chrom_84176d70,2,14195.3812,chrom_4526dc02,chrom_bcdc6d0b
chrom_4893dd01,2,14261.4096,chrom_cf50636f,chrom_ada92a31
chrom_3f26befd,2,14261.4096,chrom_b655ce47,chrom_ada92a31
chrom_0d34c12f,2,14277.279,chrom_4526dc02,chrom_b655ce47
chrom_66bdbe04,2,14281.8652,chrom_d2eb7e5d,chrom_c7e9c39b
chrom_82fb9be9,2,14605.3323,chrom_2d76858e,chrom_ada92a31
chrom_4526dc02,1,14081.7262,chrom_b655ce47,chrom_a3f863f6
chrom_02a08d43,3,14149.6957,chrom_060a6e6b,chrom_3f26befd
chrom_02c1d625,3,14184.0033,chrom_c7e23624,chrom_84176d70
chrom_d7ceb4fc,3,14184.0033,chrom_c7e23624,chrom_84176d70
chrom_0f37793f,3,14184.0033,chrom_c7e23624,chrom_27031a85
chrom_246f12cf,3,14195.3812,chrom_4526dc02,chrom_27031a85
chrom_29a78d39,3,14195.3812,chrom_4526dc02,chrom_27031a85
chrom_7918cb78,3,14195.3812,chrom_4526dc02,chrom_27031a85
chrom_c1b49edb,3,14277.279,chrom_4526dc02,chrom_0d34c12f
chrom_de0c7af0,3,14844.4964,chrom_3f26befd,chrom_66bdbe04
chrom_4526dc02,1,14081.7262,chrom_b655ce47,chrom_a3f863f6
chrom_82aa0652,4,14131.677,chrom_02c1d625,chrom_0f37793f
chrom_514eaab1,4,14184.0033,chrom_0f37793f,chrom_d7ceb4fc
chrom_502b61cd,4,14195.3812,chrom_246f12cf,chrom_29a78d39
chrom_0449288e,4,14195.3812,chrom_4526dc02,chrom_246f12cf
chrom_5c83f198,4,14261.4096,chrom_4526dc02,chrom_02a08d43
chrom_6c763c56,4,14267.7974,chrom_02c1d625,chrom_c1b49edb
chrom_8b97f2e6,4,14490.6637,chrom_02a08d43,chrom_246f12cf
chrom_5ee38df1,4,14490.6637,chrom_02a08d43,chrom_29a78d39
chrom_7aead3e1,4,14490.6637,chrom_02a08d43,chrom_29a78d39
chrom_4526dc02,1,14081.7262,chrom_b655ce47,chrom_a3f863f6
chrom_c2555d11,5,14143.0549,chrom_4526dc02,chrom_82aa0652
chrom_51794729,5,14184.0033,chrom_514eaab1,chrom_502b61cd
chrom_0e4761cf,5,14184.0033,chrom_514eaab1,chrom_0449288e
chrom_8e76f03b,5,14184.0033,chrom_82aa0652,chrom_0449288e
chrom_9629442c,5,14184.0033,chrom_82aa0652,chrom_502b61cd
chrom_9e0b14bc,5,14195.3812,chrom_4526dc02,chrom_502b61cd
chrom_8d730263,5,14261.4096,chrom_502b61cd,chrom_5c83f198
chrom_a2314141,5,14261.4096,chrom_502b61cd,chrom_5c83f198
chrom_fa054a0c,5,14277.279,chrom_4526dc02,chrom_6c763c56
chrom_4526dc02,1,14081.7262,chrom_b655ce47,chrom_a3f863f6
chrom_dc0b8e18,6,14184.0033,chrom_51794729,chrom_0e4761cf
chrom_83ddf074,6,14184.0033,chrom_8e76f03b,chrom_0e4761cf
chrom_a7cd9629,6,14184.0033,chrom_8e76f03b,chrom_9e0b14bc
chrom_b0e313dd,6,14184.0033,chrom_51794729,chrom_0e4761cf
chrom_aabcaaa9,6,14195.3812,chrom_4526dc02,chrom_9629442c
chrom_69b33ed4,6,14195.3812,chrom_4526dc02,chrom_9629442c
chrom_3e738019,6,14195.3812,chrom_4526dc02,chrom_8e76f03b
chrom_a60388ff,6,14195.3812,chrom_4526dc02,chrom_8e76f03b
chrom_c15062da,6,14250.0317,chrom_9629442c,chrom_8d730263
chrom_4526dc02,1,14081.7262,chrom_b655ce47,chrom_a3f863f6
chrom_836f8ab1,7,14176.7839,chrom_aabcaaa9,chrom_69b33ed4
chrom_903a14ff,7,14184.0033,chrom_a7cd9629,chrom_b0e313dd
chrom_8eb4dc85,7,14184.0033,chrom_b0e313dd,chrom_aabcaaa9
chrom_d6081014,7,14184.0033,chrom_83ddf074,chrom_aabcaaa9
chrom_82d93474,7,14184.0033,chrom_b0e313dd,chrom_dc0b8e18
chrom_5b40b5b4,7,14195.3812,chrom_4526dc02,chrom_a7cd9629
chrom_d21fe84a,7,14195.3812,chrom_a60388ff,chrom_3e738019
chrom_87b91369,7,14195.3812,chrom_4526dc02,chrom_dc0b8e18
chrom_a6e7a99e,7,14195.3812,chrom_4526dc02,chrom_69b33ed4
chrom_4526dc02,1,14081.7262,chrom_b655ce47,chrom_a3f863f6
chrom_e091cd6c,8,14151.7154,chrom_d6081014,chrom_87b91369
chrom_914c45b5,8,14176.7839,chrom_836f8ab1,chrom_d21fe84a
chrom_b68d0ffa,8,14176.7839,chrom_836f8ab1,chrom_d6081014
chrom_336d5adb,8,14184.0033,chrom_d6081014,chrom_8eb4dc85
chrom_be797f63,8,14184.0033,chrom_82d93474,chrom_8eb4dc85
chrom_4a611e98,8,14195.3812,chrom_4526dc02,chrom_836f8ab1
