UID,Generation,Cost,Parent_A,Parent_B
chrom_99ace240,0,92077.4514,NONE,NONE
chrom_345b9771,0,108971.6893,NONE,NONE
chrom_9ea1cd44,0,135942.8196,NONE,NONE
chrom_9fe1b82b,0,164130.9633,NONE,NONE
chrom_99ace240,0,92077.4514,NONE,NONE
chrom_645f18fb,1,98508.106,chrom_99ace240,chrom_9ea1cd44
chrom_db2d5432,1,100480.0335,chrom_345b9771,chrom_9ea1cd44
chrom_cb63d206,1,128411.5762,chrom_99ace240,chrom_345b9771
chrom_99ace240,0,92077.4514,NONE,NONE
chrom_c0646fc9,2,98175.4122,chrom_99ace240,chrom_645f18fb
chrom_21a417db,2,127475.199,chrom_99ace240,chrom_645f18fb
chrom_013d29ed,2,128255.3641,chrom_99ace240,chrom_db2d5432
