num_routes,density,total_rate,num_ticks,cv,mean_completion,mean_fit
5,50,250,360,0.07609985973567071,0.058163773644984686,581374.423925191
5,150,750,360,0.034971349097215984,0.04870892195980082,1654598.2937089782
5,300,1500,360,0.013941073851341487,0.0484853993047507,3374620.45516649
10,50,500,360,0.0227993445589984,0.07117090330189361,1087684.5601291494
10,150,1500,360,0.0059066328272532435,0.06722243790446407,3168355.4410766847
10,300,3000,360,0.009558823431124377,0.058145873995038455,6380522.442501336
