Best_Parent_Cost,Parental_Gap,Child_RPI
731.4351100547595,78.90050752533227,0.35127967677484095
617.6691212930473,159.72096406064156,0.8188692983616062
398.4015324749206,52.59660893420596,2.4449656525801005
396.8788271983907,131.40794542880906,-0.5572980105015611
301.1659607042226,111.33150608744859,0.3080977740016131
340.6492144564046,297.69132270118746,0.8276964563463366
379.8205219099665,125.53108258922629,1.246454112455313
441.2903837612754,120.28436086161014,0.7606525185646481
443.4425922492769,124.19990630229245,0.7362044658797149
488.98707787941476,46.85960216420551,0.42036810572856426
510.27716352450113,185.29889035993835,-0.008443410867047503
444.2140614923189,51.213843421667036,-0.01943232192608871
299.30025954301266,246.04776292419922,1.283650184901041
416.18638834784286,339.5379101439052,0.3196285790673628
429.8962800881727,32.71194472382831,-0.31370816191156836
312.70056672421725,177.36992434636704,0.09157744557373307
393.5954646215462,239.39403030794773,0.8853535457632418
477.94454226968827,93.76113558857577,0.1852465421633895
325.90265632660635,130.06381915103645,-0.16695922093307247
324.32295502745535,43.08617297233451,1.4377489727052541
262.98189859580634,72.11166442205018,1.5219359074724856
492.4971988064914,104.67363154960208,0.8211119857344453
586.667777987961,22.519274492513432,5.143269521502855
413.9865555352327,4.116360781083813,3.7881655819602567
424.9071581958773,111.65489300000445,0.9225375048297381
404.2111176715313,86.79228884097478,0.6821710926759774
402.58238392886324,412.8181393406569,0.48417656490839106
348.9915057647369,190.48659964763414,0.3007366675297539
541.3902038073187,7.993502821181096,-7.862362125780953
269.5569135329324,277.26143247429604,0.6918597938518103
466.1641641518847,234.4254968576201,0.41964214659881016
724.2613717450229,13.476800597700503,4.621049037870653
363.26681372912446,372.80978418129894,0.4914572714863708
528.4635684579423,77.41420019129225,1.5810863124573917
475.92285127728155,57.151484603918334,0.1994477824840205
333.4980075448532,214.86116176815483,0.41410493904819917
555.5272280501994,310.72104695646055,0.6384738966780679
342.08820007035774,239.72570298287394,0.4735858694593787
509.3213485196852,15.70707580456974,0.38135070018120915
349.87694107667596,311.93821707822644,0.2920316813062553
553.7296306819663,168.23178015598648,1.2798242499315582
544.4706746608508,66.16168800950686,0.8275149753653638
210.49336695065352,387.84702122925574,0.7785558451810564
376.8311388975217,207.15794678392302,0.5494010043024331
369.7580613521839,40.03166727959257,2.5277155224485712
473.170326959976,15.354893297601848,-5.831827934197586
369.3292531039104,132.3631895880343,-0.05918652504257537
330.16171198276663,256.0738988798555,0.9203661809287483
304.0285903537727,41.77003038547309,2.6243125398672236
627.4375766076943,264.9133168116887,0.2882290332641131
309.9106829065887,145.79246362332913,1.1452193294549502
410.55114442678723,87.21140694452595,0.609516825582944
378.1128473783794,158.54808087059456,1.055282192880067
334.51362622543473,107.35892440849659,0.2794441732454831
309.83150113996714,151.92602276180224,0.0980291468835254
425.99898018991763,189.1087283147154,0.35630924267194986
570.096517936265,53.07188019843818,0.03506264417415494
267.344222217703,16.33937471475525,5.20351651946838
332.15457187347647,178.4705559355255,0.5233117752760514
315.29531576316054,260.30352413985105,0.42543910016173436
332.7415586183926,201.88524752960762,0.11272279808859824
398.695764630508,313.32968255103555,0.1935676101814528
489.06707639696305,56.46085447786578,0.947509834173394
376.9135043672732,177.14206407993532,0.290490962796413
296.9719872921156,137.14376248176575,0.3653167083245799
544.3743153193261,93.26675156625367,-1.0273938889472563
328.8425915017556,84.77567579190429,0.8989239910207788
447.8851325192021,85.00559369606208,-0.44205177198512613
320.1647953401531,58.04868647161743,0.09019150746639358
413.053165937815,60.66148702320737,-1.1414906488300105
469.8313290367385,70.15145703486013,-0.4430152618878808
559.3233536145083,108.78125933411036,-0.002166968744217478
385.7958640808394,147.4321874165184,0.5998519427786122
360.6360519413535,454.17286280853654,0.9191918458540641
553.6968687331431,221.84516068898563,0.8232039332418175
383.7005943315852,236.6407287378728,-0.29518558280300944
327.8613880101658,166.43182277839287,0.13529531429576003
461.8285844862845,139.39550983915683,0.6460607555485297
401.4535220431232,17.608504986776552,-2.660013773108025
427.02448113060234,27.701298343853296,-1.3324339885753151
433.24058133886103,124.6504780935669,1.2778362643992178
467.09644284830074,45.832262414040315,0.9046624643340495
400.0080236892095,116.68548436938352,-0.016523383175106435
496.5060154767534,36.974992616793884,2.734337575793079
632.7744621421389,150.04581784432287,0.6310829903507265
274.1114201191269,112.29583974109619,1.8468261250652804
558.4503594272013,155.54888879786233,-0.21475537689567115
381.71109518152633,45.66860555281829,-0.9787954358041887
348.4377619548407,435.1355573019104,1.005705654869352
433.3060717818156,1.2934613536717166,1.1253094578101228
414.380395205019,65.91973675172682,-0.5039354345594051
332.8285586486827,117.0564072938364,-0.1822283266873073
367.916849070029,140.57893505435067,-0.30462241101895293
350.3757899047558,103.2274697085166,-0.8061832024939511
377.2218763013123,292.8079255282218,0.6750063795977375
366.71832096376227,249.018918761196,0.7472980801476659
440.51074251987785,235.98862609379222,0.6368538272860766
432.71076425386036,182.66021885133955,0.39656324795907744
418.48242560007066,48.674616851309224,-1.0312559793072866
359.6936237891135,38.603849383450665,4.5238060009179675
330.81274525102236,5.171017185237645,7.580579388140923
317.0672739170033,681.0420349073108,0.28100449674747585
513.8591460379859,23.735280200468196,-1.946764502400902
371.9691371101162,128.27125708794938,-0.02947324833670111
587.3713221170981,33.0877080267303,-3.161355105110532
561.8715797369687,110.34894238772142,-0.004385081981206753
656.725590141044,123.8186725762904,2.2415840726010363
454.66710174907337,170.1955377075824,1.3245629772352154
506.3625869171395,21.54743942039005,-9.693685757010982
370.9852435359379,147.88815269696863,0.565028170580235
360.34276191232436,91.84093496769384,1.6396051253280428
313.1341997662654,76.25256969026373,-0.763462005342917
539.0340651498834,204.40596268453373,0.7682436973348432
322.1581260973667,210.1460495342975,0.684303221287498
520.0791097586756,17.826762367314586,0.12884756977115866
514.2126335003006,253.270130559883,0.7390445602681998
310.3200450454045,500.7486615307655,0.2633315470573819
325.75195670982066,285.45174166094,0.5624001103057902
387.9166651888889,75.44042149354209,-0.8255567627719478
311.0752194410341,57.8688574353406,-1.0046016122745716
515.7985666660157,272.68424659179675,1.1906461008344615
379.0785037776206,211.8684347233421,0.267131193960687
454.8148653006592,177.5696721008958,0.6483340946833813
365.7483507964911,20.630667689656548,3.641551704155533
390.93508946102645,56.83734377200818,-0.31665953716941475
412.4400462685486,240.81510232290952,-0.32342680487969566
520.2839906661309,260.9754193147826,-0.5117357033535862
405.7729345648412,255.54441664595083,-0.21706125418649094
550.9881968510606,114.05515959915601,1.9456436922131892
422.96069903995556,14.618354965657772,-0.9816974182740088
419.6625868769138,156.21467550172088,0.5960278674690538
696.2254136513375,169.32200476877335,0.1243965168832821
415.1968142564163,82.51798997122114,-0.4441712313637327
403.4451310276019,242.60426195917984,0.7885508517118565
325.15651389254464,38.10827675852386,-1.2797755177019747
311.01443055428143,214.02314297824756,0.34201421557419126
426.84353745652686,422.56641339013174,0.6746095992741648
271.54608416859656,204.01707315935408,0.5724524445169145
325.119857087395,610.3031364372755,0.44948866204228455
392.00294470762935,67.17636236522151,-0.7177629502781532
518.207301446436,165.22116696824492,0.2019279732276254
421.98591113315103,23.058412214021985,2.4461734726738897
509.9044303256413,4.097628204318937,5.324959176611687
445.24257956416125,167.81395657662858,0.6632144396741477
477.9589767538828,209.86116972936384,0.4886154515365671
442.72227240298696,12.211608852933068,1.092915588582044
529.8988847351209,89.51548444855166,-0.4953711090345736
544.3548312225355,164.8477236194948,0.4645308478200061
438.02488714051316,99.35994302120906,0.29859563180394977
483.4081102178583,464.62002424656555,0.2790117526036543
339.9828487239074,224.397290737483,0.3287286671860267
416.5352982341998,91.7365556586879,-1.2057903439361348
390.8929458205831,67.16090272356041,0.09816100334200123
498.94077375833103,128.35073081232372,1.0443544168165073
707.7916805378799,24.352935775903802,1.5065968627917876
309.92072111735314,114.84534443756723,0.9206334498193652
501.78731445180284,233.82231491557837,1.016432003838858
418.91867014035523,211.4285078025669,0.674220232238438
283.84008236252373,202.2230688817823,0.4396811182260293
295.5152940739449,56.11565650599931,1.6246962606777628
625.0061938721552,71.23987365815776,-3.320562945588469
383.57868282375637,525.5802770801411,0.4951850549194169
519.0133366666065,98.53903860837283,-0.23991194428119456
524.9215273659664,94.06563884085074,-1.037201565816728
473.63678825394015,6.546269642404923,-16.928915107071752
625.1189439632377,2.4739259245686753,-19.25558319900097
580.5364331314797,21.16062007031735,-5.051531246523012
454.03038701198784,423.7736115602089,0.2958535318742932
527.078230665423,47.09632540443681,-1.4803793258300635
572.6659093083426,1.9860827931941003,116.83794857105822
481.5226230799243,29.007234617505958,-4.6828758430364354
389.49345842173204,23.130564354533476,0.14260782197231875
276.28355650260454,487.4991681541124,0.7147363867977338
463.7894670447331,244.2007560016075,0.13780605780857272
484.0558411650892,146.0448137993219,1.9329548111281774
420.7190464955872,409.74520997810356,0.5328445090342657
413.74376422484164,33.903652485717885,-1.0435602398285597
301.34746061906276,2.8759007990494183,-3.545406454530011
432.5235185585172,71.96025270870479,-1.6815010777016974
413.41304004195047,71.90841008326805,1.8439572375059279
585.2481972294339,130.71105452020163,-0.20141325403754692
459.873111053217,185.52947511015412,1.3976371827413294
562.9928326342498,292.8677125453065,-0.030559229790693147
505.7546402299089,166.74311202223726,0.37356371324594395
413.7828623720543,176.94382400974064,1.3065897391970365
465.0897152513474,90.78440066414652,1.3209432957716614
658.6334533838055,82.58511488974864,0.013984340312365683
414.539640768818,132.15738657519375,0.8018569956495935
353.6334083117809,67.74650671957562,0.8539085407529948
456.1213630538531,327.58020781509947,0.42431400738905406
453.58042849290723,120.5957579612334,-0.20914570353524783
334.2756924147935,174.86461767229963,0.03869422112958506
403.74332682554916,94.58992821002317,0.793567308851583
533.4077676483023,34.348759977036025,2.6267649618355082
330.69291483831955,342.52610710597435,0.7514305878774442
562.2543418142917,138.98299468323523,0.5503949539474031
526.1863242589463,61.2433650541243,-1.4030752967055315
527.9138463360248,18.149208783623067,-4.6530298651640765
