Generation,Global_Best_Cost,Population_Mean_Cost,Active_Mutation_Rate,Stagnation_Counter
2,13287.0358,13579.1224,0.775,0
3,13287.0358,13554.9015,0.75,1
4,13287.0358,13537.2306,0.7256,2
5,13287.0358,13557.9204,0.7024,3
6,13287.0358,13557.4752,0.6805,4
7,13287.0358,13541.9171,0.6598,5
8,13287.0358,13532.4828,0.6403,6
9,13146.018,13494.1029,0.622,0
10,13034.4236,13342.7106,0.575,0
11,13034.4236,13155.8039,0.55,1
12,13034.4236,13139.9019,0.5256,2
13,13034.4236,13131.9509,0.5024,3
14,13034.4236,13134.8456,0.4805,4
15,12969.4941,13117.2061,0.4598,0
16,12948.1232,13073.2713,0.425,0
17,12948.1232,12967.357,0.4,1
18,12948.1232,12967.357,0.3756,2
19,12948.1232,12967.357,0.3524,3
20,12948.1232,12967.357,0.3305,4
21,12948.1232,12967.357,0.3098,5
22,12948.1232,12966.3274,0.2903,6
23,12942.3144,12959.095,0.272,0
24,12920.9435,12950.2297,0.225,0
25,12920.9435,12939.7286,0.2,1
26,12920.9435,12940.1774,0.1756,2
27,12920.9435,12940.0464,0.1524,3
28,12906.3494,12936.319,0.1305,0
29,12906.3494,12936.319,0.1,1
30,12906.3494,12938.4561,0.0756,2
31,12906.3494,12938.1943,0.0524,3
