UID,Generation,Cost,Parent_A,Parent_B
chrom_d7f545a1,0,13319.7674,NONE,NONE
chrom_d61c2fa8,0,13431.2887,NONE,NONE
chrom_e924a9c7,0,13750.1696,NONE,NONE
chrom_8b014fa7,0,13802.7645,NONE,NONE
chrom_0f4ae8de,0,13847.2125,NONE,NONE
chrom_40866ec5,0,14133.4946,NONE,NONE
chrom_f834ccf3,0,14203.0284,NONE,NONE
chrom_82b30669,0,14359.5344,NONE,NONE
chrom_07f6eb28,0,14458.7391,NONE,NONE
chrom_5155595b,0,14573.8234,NONE,NONE
chrom_02d78938,1,13287.0358,chrom_d7f545a1,chrom_d61c2fa8
chrom_0a48c55a,1,13301.9141,chrom_d7f545a1,chrom_d61c2fa8
chrom_b5c931e3,1,13304.7711,chrom_d7f545a1,chrom_d61c2fa8
chrom_d7f545a1,0,13319.7674,NONE,NONE
chrom_a6bf7b33,1,13391.3335,chrom_d61c2fa8,chrom_e924a9c7
chrom_3020e65f,1,13514.3519,chrom_d7f545a1,chrom_40866ec5
chrom_efac4368,1,13558.9446,chrom_e924a9c7,chrom_40866ec5
chrom_898d1f4d,1,13961.6021,chrom_d7f545a1,chrom_8b014fa7
chrom_f08e4f05,1,14021.5188,chrom_8b014fa7,chrom_82b30669
chrom_d001f885,1,14129.9846,chrom_8b014fa7,chrom_07f6eb28
chrom_02d78938,1,13287.0358,chrom_d7f545a1,chrom_d61c2fa8
chrom_5290a78f,2,13287.0358,chrom_02d78938,chrom_b5c931e3
chrom_a0a8a8b1,2,13485.6374,chrom_a6bf7b33,chrom_3020e65f
chrom_121f7414,2,13535.4693,chrom_b5c931e3,chrom_d7f545a1
chrom_a3415bd0,2,13535.6652,chrom_b5c931e3,chrom_a6bf7b33
chrom_9086921a,2,13584.0064,chrom_d7f545a1,chrom_a6bf7b33
chrom_a50a9bf2,2,13594.1301,chrom_02d78938,chrom_3020e65f
chrom_409a830c,2,13614.88,chrom_b5c931e3,chrom_3020e65f
chrom_e5fd1e43,2,13637.5353,chrom_02d78938,chrom_efac4368
chrom_33c22111,2,13987.62,chrom_898d1f4d,chrom_f08e4f05
