route_count,total_fleet,sample_size,mean_allocation_cv,max_allocation_cv,mean_demand_cv,max_demand_cv,mean_no_route_od_rate,max_no_route_od_rate,mean_route_hit_rate,stable_by_cv,usable_by_route_hit_rate,mean_elapsed_sec,total_elapsed_sec
38,2000,500,0.21427905,0.99754601,0.37445991,1.96791820,0.06028571,0.07800000,0.93971429,False,True,44.059740,308.418182
38,2000,1000,0.16936406,1.25044371,0.30073077,1.71861149,0.06428571,0.07600000,0.93571429,False,True,89.046064,623.322448
38,2000,1500,0.15128397,1.15072441,0.27530638,1.88044316,0.06133333,0.06600000,0.93866667,False,True,133.966968,937.768778
38,2000,2000,0.11422359,0.69016763,0.21116188,1.00107668,0.06142857,0.07000000,0.93857143,False,True,177.397655,1241.783585
38,2000,3000,0.10855138,0.79372539,0.22638691,2.64575131,0.06190476,0.06800000,0.93809524,False,True,268.238702,1877.670913
