route_count,total_fleet,sample_size,route_index,route_id,allocation_mean,allocation_std,allocation_cv,demand_mean,demand_std,demand_cv
38,2000,1000,7,R07_Palao_Luinab,30.71428571,4.23140188,0.13776657,1865.57142857,518.45245913,0.27790545
38,2000,1000,8,R08_Dalipuga_Palao,141.14285714,3.76069902,0.02664463,38966.57142857,1920.65378254,0.04928978
38,2000,1000,9,R09_Buruun_Tubod,26.28571429,5.40722621,0.20570969,1407.85714286,561.75897221,0.39901703
38,2000,1000,10,R10_Tominobo_Tibanga,11.57142857,2.50713268,0.21666579,286.14285714,132.17718988,0.46192727
38,2000,1000,11,R11_Tipanoy_Palao,135.71428571,4.92322001,0.03627636,36136.71428571,2391.29488731,0.06617356
38,2000,1000,12,R12_Luinab_Tibanga,16.42857143,2.14919697,0.13082069,532.85714286,140.47351894,0.26362323
38,2000,1000,13,R13_Bonbonon_Kiwalan,108.28571429,3.72890894,0.03443583,23028.71428571,1772.07728521,0.07695077
38,2000,1000,14,R14_Ditucalan_Tubod,71.28571429,4.11154009,0.05767692,9984.85714286,1158.65546052,0.11604127
38,2000,1000,15,R15_VillaVerde_Palao,11.14285714,2.19306266,0.19681332,247.85714286,86.32965611,0.34830409
38,2000,1000,16,R16_UpperTominobo_Tubod,26.85714286,7.24404517,0.26972509,1495.85714286,797.31955714,0.53301852
38,2000,1000,17,R17_BagongSilang_Palao,3.85714286,2.41029538,0.62489139,38.42857143,43.24294603,1.12528112
38,2000,1000,18,R18_SanMiguel_Tibanga,4.28571429,2.49761791,0.58277751,48.14285714,44.83461673,0.93128284
38,2000,1000,19,R19_DelCarmen_Luinab,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
38,2000,1000,20,R20_Pugaan_Tibanga,72.28571429,3.45032780,0.04773181,10271.14285714,1100.93406230,0.10718710
38,2000,1000,21,R21_Abuno_Tubod,30.85714286,3.67099312,0.11896737,1894.00000000,485.83776442,0.25651413
38,2000,1000,22,R22_SantaFilomena_Tibanga,3.71428571,4.64450520,1.25044371,67.57142857,116.12903332,1.71861149
38,2000,1000,23,R23_Acmac_Kiwalan,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
38,2000,1000,24,R24_Kabacsanan_Kiwalan,224.00000000,3.87298335,0.01729010,98134.85714286,3727.16672682,0.03798005
38,2000,1000,25,R25_Bunawan_Dalipuga,178.14285714,9.28131764,0.05210042,62077.42857143,6167.81773556,0.09935685
38,2000,1000,26,R26_Dalipuga_Tibanga,24.00000000,5.59761854,0.23323411,1173.57142857,522.63526388,0.44533741
38,2000,1000,27,R27_Bonbonon_Palao,198.14285714,6.71884344,0.03390909,76836.71428571,4411.79705314,0.05741783
38,2000,1000,28,R28_MariaCristina_Tipanoy,39.42857143,6.60447179,0.16750472,3117.57142857,961.51024559,0.30841643
38,2000,1000,29,R29_Buruun_Tominobo,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
38,2000,1000,30,R30_Tambacan_Luinab,27.00000000,3.78593890,0.14021996,1462.28571429,407.49794040,0.27867190
38,2000,1000,31,R31_Center_Kiwalan,28.71428571,3.63841933,0.12671112,1655.14285714,448.22517725,0.27080755
