Generation,Global_Best_Cost,Population_Mean_Cost,Active_Mutation_Rate,Stagnation_Counter
2,15671.4491,16472.4012,0.775,0
3,15596.8202,16146.168,0.75,0
4,15596.8202,15921.3862,0.725,1
5,15534.7534,15666.5865,0.7006,0
6,15534.7534,15593.8778,0.675,1
7,15232.6184,15536.3051,0.6506,0
8,15187.0002,15404.7758,0.625,0
9,14941.6949,15205.7595,0.6,0
10,14941.6949,15124.5062,0.575,1
11,14863.3148,14960.7185,0.5506,0
12,14863.3148,14932.7674,0.525,1
13,14859.4886,14907.5081,0.5006,0
14,14847.3681,14865.4585,0.475,0
15,14799.35,14845.1597,0.45,0
16,14799.35,14845.7343,0.425,1
17,14719.0801,14831.1953,0.4006,0
18,14701.9783,14807.5455,0.375,0
19,14701.9783,14767.9284,0.35,1
20,14701.9783,14742.6973,0.3256,2
21,14701.9783,14742.8857,0.3024,3
22,14701.9783,14753.092,0.2805,4
23,14701.9783,14753.092,0.2598,5
24,14701.9783,14747.9888,0.2403,6
25,14695.484,14750.7324,0.222,0
26,14695.484,14755.57,0.175,1
27,14695.484,14743.772,0.1506,2
28,14695.484,14737.7069,0.1274,3
29,14695.484,14737.5634,0.1055,4
30,14695.484,14730.2961,0.0848,5
31,14695.484,14726.7342,0.0653,6
