UID,Generation,Cost,Parent_A,Parent_B
chrom_1c215216,0,663842.2747,NONE,NONE
chrom_f3cef3c0,0,671441.0302,NONE,NONE
chrom_48b537bc,0,672006.7624,NONE,NONE
chrom_1ef99cfe,0,708063.1589,NONE,NONE
chrom_219318a0,0,708493.2427,NONE,NONE
chrom_c769f9dc,0,712203.3969,NONE,NONE
chrom_6515f6c5,0,721733.5218,NONE,NONE
chrom_a22d3325,0,722033.4065,NONE,NONE
chrom_9d006b20,0,724300.9687,NONE,NONE
chrom_d4607bbe,0,724599.8962,NONE,NONE
chrom_2266ef86,0,734045.8429,NONE,NONE
chrom_4a0de0e9,0,744732.0723,NONE,NONE
chrom_660e46bd,0,750757.3294,NONE,NONE
chrom_138dc60f,0,751200.9574,NONE,NONE
chrom_6063bfea,0,753306.5153,NONE,NONE
chrom_f39bbbd3,0,754329.4885,NONE,NONE
chrom_e1ce182b,0,755049.5478,NONE,NONE
chrom_c84845a4,0,766542.4613,NONE,NONE
chrom_a6d39270,0,790979.5937,NONE,NONE
chrom_4f9771cc,0,823190.0922,NONE,NONE
chrom_1c215216,0,663842.2747,NONE,NONE
chrom_c7aaccfd,1,669895.1371,chrom_2266ef86,chrom_6063bfea
chrom_f3cef3c0,0,671441.0302,NONE,NONE
chrom_aaeeb263,1,678840.4931,chrom_c769f9dc,chrom_6515f6c5
chrom_f45bf3f2,1,679267.1231,chrom_1ef99cfe,chrom_6515f6c5
chrom_06e5cbb1,1,691989.039,chrom_1ef99cfe,chrom_9d006b20
chrom_389fd515,1,705610.5484,chrom_c769f9dc,chrom_4a0de0e9
chrom_7f5fcc1b,1,706158.748,chrom_48b537bc,chrom_138dc60f
chrom_48d13d53,1,707733.8008,chrom_f3cef3c0,chrom_219318a0
chrom_922fd74b,1,709723.8629,chrom_1c215216,chrom_d4607bbe
chrom_756876d9,1,711408.8189,chrom_219318a0,chrom_c769f9dc
chrom_b66660f1,1,712052.6809,chrom_d4607bbe,chrom_660e46bd
chrom_2c304e24,1,714396.4082,chrom_9d006b20,chrom_e1ce182b
chrom_4c060a34,1,720698.1661,chrom_48b537bc,chrom_219318a0
chrom_1b18f01a,1,721467.0123,chrom_1ef99cfe,chrom_138dc60f
chrom_daa395c1,1,723737.324,chrom_1c215216,chrom_219318a0
chrom_fff2e630,1,735127.1704,chrom_660e46bd,chrom_6063bfea
chrom_9302ace1,1,745861.026,chrom_138dc60f,chrom_f39bbbd3
chrom_f3929d3f,1,759085.0906,chrom_a22d3325,chrom_c84845a4
chrom_fabf343b,1,780443.7857,chrom_138dc60f,chrom_e1ce182b
chrom_0b4e5bdf,2,661183.4116,chrom_1c215216,chrom_2c304e24
chrom_4441e96e,2,663121.0862,chrom_f45bf3f2,chrom_06e5cbb1
chrom_1c215216,0,663842.2747,NONE,NONE
chrom_dddbabac,2,664352.0,chrom_922fd74b,chrom_fff2e630
chrom_c7aaccfd,1,669895.1371,chrom_2266ef86,chrom_6063bfea
chrom_683f5fd1,2,674352.3073,chrom_1c215216,chrom_06e5cbb1
chrom_2efc626d,2,675099.1256,chrom_c7aaccfd,chrom_f3cef3c0
chrom_3cba6e83,2,679904.0375,chrom_1c215216,chrom_b66660f1
chrom_2ed9cdc4,2,680814.9072,chrom_7f5fcc1b,chrom_b66660f1
chrom_3f317425,2,683777.2596,chrom_389fd515,chrom_48d13d53
chrom_280362c3,2,694436.3005,chrom_06e5cbb1,chrom_b66660f1
chrom_b65a46dc,2,700715.0304,chrom_f45bf3f2,chrom_48d13d53
chrom_89818e6a,2,703448.7706,chrom_1c215216,chrom_389fd515
chrom_d30077f1,2,705522.4034,chrom_1c215216,chrom_daa395c1
chrom_d54892d3,2,706324.3391,chrom_389fd515,chrom_48d13d53
chrom_83ea64b4,2,706734.5963,chrom_f3cef3c0,chrom_06e5cbb1
chrom_d7f36eee,2,713903.3195,chrom_1c215216,chrom_daa395c1
chrom_50804006,2,718603.1067,chrom_756876d9,chrom_fff2e630
chrom_1d01c143,2,725727.6257,chrom_1c215216,chrom_389fd515
chrom_24d49e4c,2,733472.6744,chrom_389fd515,chrom_7f5fcc1b
chrom_9fc53474,3,652665.7052,chrom_c7aaccfd,chrom_3cba6e83
chrom_be70db33,3,654075.5135,chrom_0b4e5bdf,chrom_3cba6e83
chrom_0b4e5bdf,2,661183.4116,chrom_1c215216,chrom_2c304e24
chrom_4441e96e,2,663121.0862,chrom_f45bf3f2,chrom_06e5cbb1
chrom_30035751,3,664786.7141,chrom_0b4e5bdf,chrom_dddbabac
chrom_9656ae86,3,670372.7221,chrom_89818e6a,chrom_d30077f1
chrom_f6ddb11e,3,670485.4169,chrom_1c215216,chrom_280362c3
chrom_158c4c26,3,671753.2736,chrom_dddbabac,chrom_280362c3
chrom_ae1f78ca,3,672451.6196,chrom_83ea64b4,chrom_d7f36eee
chrom_88b28197,3,677319.5531,chrom_2efc626d,chrom_50804006
chrom_6075e483,3,677972.3144,chrom_4441e96e,chrom_1c215216
chrom_0eb2d445,3,678289.0845,chrom_2efc626d,chrom_3cba6e83
chrom_116bbce8,3,679745.6795,chrom_0b4e5bdf,chrom_2ed9cdc4
chrom_851c1f7f,3,684408.0899,chrom_3cba6e83,chrom_3f317425
chrom_7fe19f44,3,688968.0063,chrom_d54892d3,chrom_d7f36eee
chrom_90694e26,3,691225.5918,chrom_dddbabac,chrom_2ed9cdc4
chrom_f7d0c362,3,696827.9474,chrom_d54892d3,chrom_1d01c143
chrom_5c779be1,3,705687.7419,chrom_0b4e5bdf,chrom_c7aaccfd
chrom_ce4c50ad,3,707884.6489,chrom_1c215216,chrom_b65a46dc
chrom_b3d2caba,3,710621.6994,chrom_1c215216,chrom_d54892d3
chrom_056ebdf0,4,632986.1273,chrom_0b4e5bdf,chrom_6075e483
chrom_56834d66,4,649795.6319,chrom_0eb2d445,chrom_f7d0c362
chrom_9fc53474,3,652665.7052,chrom_c7aaccfd,chrom_3cba6e83
