Generation,Global_Best_Cost,Population_Mean_Cost,Active_Mutation_Rate,Stagnation_Counter
2,13956.6721,14397.5514,0.775,1
3,13956.6721,14521.72,0.7506,2
4,13956.6721,14459.2611,0.7274,3
5,13956.6721,14429.445,0.7055,4
6,13956.6721,14407.1581,0.6848,5
7,13956.6721,14451.1915,0.6653,6
8,13956.6721,14432.6908,0.647,7
9,13956.6721,14408.5613,0.6299,8
10,13956.6721,14341.2244,0.6141,9
11,13956.6721,14341.4597,0.5995,10
12,13956.6721,14281.8702,0.5861,11
13,13956.6721,14179.9862,0.5739,12
14,13956.6721,14310.4172,0.563,13
15,13956.6721,14268.1739,0.5533,14
16,13956.6721,14156.1928,0.5448,15
17,13956.6721,14220.6592,0.5375,16
18,13956.6721,14239.2417,0.5314,17
19,13873.6514,14165.599,0.5266,0
20,13546.2952,13986.7828,0.325,0
21,13546.2952,13804.0511,0.3,1
22,13546.2952,13800.0633,0.2756,2
23,13546.2952,13779.8651,0.2524,3
24,13546.2952,13756.9285,0.2305,4
25,13546.2952,13687.944,0.2098,5
26,13546.2952,13665.0656,0.1903,6
27,13546.2952,13711.1134,0.172,7
28,13545.128,13657.1078,0.1549,0
29,13545.128,13665.2398,0.1,1
30,13525.3361,13600.8899,0.0756,0
31,13525.3361,13561.9574,0.05,1
