UID,Generation,Cost,Parent_A,Parent_B
chrom_b544760c,0,13956.6721,NONE,NONE
chrom_987feca3,0,14670.1486,NONE,NONE
chrom_fe80e42b,0,14738.4898,NONE,NONE
chrom_cc8ed696,0,14765.9699,NONE,NONE
chrom_0908b4eb,0,14905.5402,NONE,NONE
chrom_d3375a53,0,14918.3379,NONE,NONE
chrom_e9364845,0,15003.6684,NONE,NONE
chrom_ac456dda,0,15173.0442,NONE,NONE
chrom_b02a60e3,0,15390.7029,NONE,NONE
chrom_88092036,0,16063.1728,NONE,NONE
chrom_b544760c,0,13956.6721,NONE,NONE
chrom_91d9620f,1,13967.2263,chrom_b544760c,chrom_e9364845
chrom_28ecdea7,1,14256.9521,chrom_b544760c,chrom_987feca3
chrom_b6b3a49d,1,14325.0985,chrom_987feca3,chrom_e9364845
chrom_0433625b,1,14378.8374,chrom_d3375a53,chrom_ac456dda
chrom_d3bbef82,1,14493.5222,chrom_0908b4eb,chrom_d3375a53
chrom_abdb9768,1,14508.6661,chrom_b544760c,chrom_cc8ed696
chrom_d79ddf1a,1,14690.7918,chrom_987feca3,chrom_cc8ed696
chrom_26b85c74,1,14698.8737,chrom_987feca3,chrom_0908b4eb
chrom_3c11f094,1,14698.8737,chrom_987feca3,chrom_0908b4eb
chrom_b544760c,0,13956.6721,NONE,NONE
chrom_c62e223e,2,13967.2263,chrom_b544760c,chrom_91d9620f
chrom_ff2e3e9d,2,14256.9521,chrom_b544760c,chrom_28ecdea7
chrom_6357e584,2,14256.9521,chrom_91d9620f,chrom_28ecdea7
chrom_d462a68f,2,14508.6661,chrom_28ecdea7,chrom_abdb9768
chrom_d1707e4f,2,14508.6661,chrom_91d9620f,chrom_abdb9768
chrom_9a7a422f,2,14565.6671,chrom_abdb9768,chrom_3c11f094
chrom_4793113f,2,14791.8152,chrom_d3bbef82,chrom_d79ddf1a
chrom_a2cba086,2,14856.7453,chrom_b6b3a49d,chrom_abdb9768
chrom_da8db934,2,15547.8373,chrom_b6b3a49d,chrom_d79ddf1a
chrom_b544760c,0,13956.6721,NONE,NONE
chrom_cdd2dfcd,3,14256.9521,chrom_6357e584,chrom_ff2e3e9d
chrom_af9ccc2b,3,14459.102,chrom_d1707e4f,chrom_a2cba086
chrom_0ac39515,3,14485.9139,chrom_d462a68f,chrom_4793113f
chrom_fdd7e5d7,3,14486.2776,chrom_d1707e4f,chrom_9a7a422f
chrom_56c68095,3,14508.6661,chrom_6357e584,chrom_d1707e4f
chrom_92fd2e9d,3,14508.6661,chrom_6357e584,chrom_d1707e4f
chrom_805302ba,3,14508.6661,chrom_b544760c,chrom_d462a68f
chrom_421e7109,3,14508.6661,chrom_c62e223e,chrom_d462a68f
chrom_bef82690,3,14913.0282,chrom_4793113f,chrom_a2cba086
chrom_b544760c,0,13956.6721,NONE,NONE
chrom_42ce1ed4,4,14256.9521,chrom_b544760c,chrom_cdd2dfcd
chrom_2108ba02,4,14485.9139,chrom_0ac39515,chrom_92fd2e9d
chrom_7db7d242,4,14485.9139,chrom_0ac39515,chrom_805302ba
chrom_8cc0a8b8,4,14508.6661,chrom_cdd2dfcd,chrom_0ac39515
chrom_d27ec257,4,14508.6661,chrom_cdd2dfcd,chrom_56c68095
chrom_a2ce19ad,4,14508.6661,chrom_cdd2dfcd,chrom_805302ba
chrom_3dd5def6,4,14508.6661,chrom_cdd2dfcd,chrom_0ac39515
chrom_0dc00396,4,14508.6661,chrom_cdd2dfcd,chrom_56c68095
chrom_1a7ff8a9,4,14565.6671,chrom_af9ccc2b,chrom_fdd7e5d7
chrom_b544760c,0,13956.6721,NONE,NONE
chrom_d91f41c8,5,14256.9521,chrom_b544760c,chrom_42ce1ed4
chrom_2ef7855e,5,14320.0465,chrom_2108ba02,chrom_7db7d242
chrom_d1f1cfee,5,14485.9139,chrom_2108ba02,chrom_a2ce19ad
chrom_ecb368b7,5,14508.6661,chrom_a2ce19ad,chrom_d27ec257
chrom_95a08e2c,5,14508.6661,chrom_b544760c,chrom_2108ba02
chrom_0c62789c,5,14508.6661,chrom_42ce1ed4,chrom_a2ce19ad
chrom_1ea6aacc,5,14508.6661,chrom_d27ec257,chrom_0dc00396
chrom_766f5b46,5,14508.6661,chrom_3dd5def6,chrom_a2ce19ad
chrom_90cd5b03,5,14508.6661,chrom_8cc0a8b8,chrom_a2ce19ad
chrom_b544760c,0,13956.6721,NONE,NONE
chrom_1a345052,6,14485.9139,chrom_d1f1cfee,chrom_90cd5b03
chrom_2127d7a9,6,14508.6661,chrom_d91f41c8,chrom_0c62789c
chrom_7fb5b0f1,6,14508.6661,chrom_b544760c,chrom_90cd5b03
chrom_105c824e,6,14508.6661,chrom_766f5b46,chrom_90cd5b03
chrom_bb9921b9,6,14508.6661,chrom_d91f41c8,chrom_0c62789c
chrom_0aeb47c0,6,14508.6661,chrom_d91f41c8,chrom_d1f1cfee
chrom_874151de,6,14508.6661,chrom_90cd5b03,chrom_1ea6aacc
chrom_3896c8de,6,14508.6661,chrom_b544760c,chrom_0c62789c
chrom_eeb2daba,6,14508.6661,chrom_b544760c,chrom_2ef7855e
chrom_b544760c,0,13956.6721,NONE,NONE
chrom_57f3f034,7,14449.178,chrom_2127d7a9,chrom_0aeb47c0
chrom_d8dd8da4,7,14462.9392,chrom_1a345052,chrom_105c824e
chrom_1c73b5bb,7,14474.3786,chrom_2127d7a9,chrom_bb9921b9
chrom_59f44824,7,14485.9139,chrom_1a345052,chrom_105c824e
chrom_8422700e,7,14485.9139,chrom_1a345052,chrom_0aeb47c0
chrom_2a73ed96,7,14485.9139,chrom_1a345052,chrom_3896c8de
chrom_007cf285,7,14508.6661,chrom_b544760c,chrom_1a345052
chrom_399ba984,7,14508.6661,chrom_3896c8de,chrom_105c824e
chrom_6cacf777,7,14508.6661,chrom_105c824e,chrom_eeb2daba
chrom_b544760c,0,13956.6721,NONE,NONE
chrom_e8a8f014,8,14294.8529,chrom_57f3f034,chrom_2a73ed96
chrom_8a965dde,8,14416.1682,chrom_57f3f034,chrom_59f44824
chrom_af433e66,8,14448.1634,chrom_57f3f034,chrom_d8dd8da4
chrom_72d08029,8,14449.178,chrom_57f3f034,chrom_2a73ed96
chrom_c343e936,8,14485.9139,chrom_59f44824,chrom_2a73ed96
chrom_3a29b48a,8,14508.6661,chrom_b544760c,chrom_d8dd8da4
chrom_87578348,8,14508.6661,chrom_b544760c,chrom_2a73ed96
chrom_3fd868ea,8,14508.6661,chrom_b544760c,chrom_1c73b5bb
chrom_8ac5ec42,8,14508.6661,chrom_b544760c,chrom_d8dd8da4
chrom_b544760c,0,13956.6721,NONE,NONE
chrom_e5db5f42,9,14273.7033,chrom_e8a8f014,chrom_c343e936
chrom_2d57b0f4,9,14292.7026,chrom_e8a8f014,chrom_af433e66
chrom_eafb0811,9,14294.8529,chrom_e8a8f014,chrom_af433e66
chrom_df8b210a,9,14294.8529,chrom_e8a8f014,chrom_8ac5ec42
chrom_d8b829cd,9,14416.1682,chrom_8a965dde,chrom_af433e66
chrom_930b6204,9,14439.5338,chrom_af433e66,chrom_c343e936
chrom_1e5bf15d,9,14449.178,chrom_72d08029,chrom_c343e936
chrom_2c774a3c,9,14485.9139,chrom_c343e936,chrom_3fd868ea
chrom_48f29b61,9,14508.6661,chrom_b544760c,chrom_3fd868ea
chrom_b544760c,0,13956.6721,NONE,NONE
chrom_55e4f910,10,14164.4696,chrom_2d57b0f4,chrom_df8b210a
chrom_7f00f67a,10,14252.9171,chrom_e5db5f42,chrom_df8b210a
chrom_2e6d2a89,10,14294.8529,chrom_e5db5f42,chrom_2d57b0f4
chrom_ec506046,10,14294.8529,chrom_e5db5f42,chrom_930b6204
chrom_c5377ad4,10,14416.1682,chrom_d8b829cd,chrom_930b6204
chrom_905f89c1,10,14508.6661,chrom_b544760c,chrom_930b6204
chrom_aebb60a5,10,14508.6661,chrom_b544760c,chrom_930b6204
chrom_2dc3d20e,10,14508.6661,chrom_b544760c,chrom_d8b829cd
chrom_8dc7e7f8,10,14508.6661,chrom_b544760c,chrom_930b6204
chrom_b544760c,0,13956.6721,NONE,NONE
chrom_b92e09ec,11,14164.4696,chrom_55e4f910,chrom_2e6d2a89
chrom_885f0f3b,11,14164.4696,chrom_55e4f910,chrom_2e6d2a89
chrom_eb730964,11,14164.4696,chrom_55e4f910,chrom_aebb60a5
chrom_4664b0e7,11,14252.9171,chrom_7f00f67a,chrom_2e6d2a89
chrom_be1b379a,11,14294.8529,chrom_2e6d2a89,chrom_c5377ad4
chrom_c8dcbf21,11,14294.8529,chrom_2e6d2a89,chrom_8dc7e7f8
chrom_f6133c17,11,14508.6661,chrom_b544760c,chrom_ec506046
chrom_e97bc38a,11,14508.6661,chrom_b544760c,chrom_7f00f67a
chrom_6d4b5232,11,14508.6661,chrom_b544760c,chrom_c5377ad4
chrom_b544760c,0,13956.6721,NONE,NONE
chrom_1fde973f,12,14136.2835,chrom_885f0f3b,chrom_c8dcbf21
chrom_8248a7e9,12,14164.4696,chrom_eb730964,chrom_4664b0e7
chrom_d6d5d4b1,12,14164.4696,chrom_eb730964,chrom_885f0f3b
chrom_b342f565,12,14164.4696,chrom_b92e09ec,chrom_c8dcbf21
chrom_62839713,12,14164.4696,chrom_eb730964,chrom_be1b379a
chrom_ff7cb2d9,12,14164.4696,chrom_b92e09ec,chrom_eb730964
chrom_cab3abb0,12,14294.8529,chrom_c8dcbf21,chrom_f6133c17
chrom_375b5511,12,14294.8529,chrom_be1b379a,chrom_f6133c17
chrom_0e3aa86a,12,14294.8529,chrom_be1b379a,chrom_c8dcbf21
chrom_b544760c,0,13956.6721,NONE,NONE
chrom_9748a5d7,13,14136.2835,chrom_1fde973f,chrom_8248a7e9
chrom_15b076ba,13,14138.9463,chrom_62839713,chrom_b342f565
chrom_b0fb6993,13,14164.4696,chrom_62839713,chrom_8248a7e9
chrom_7031e49b,13,14164.4696,chrom_d6d5d4b1,chrom_8248a7e9
chrom_0dec810c,13,14508.6661,chrom_b544760c,chrom_1fde973f
chrom_dc29e770,13,14508.6661,chrom_b544760c,chrom_ff7cb2d9
chrom_796919a2,13,14508.6661,chrom_b544760c,chrom_cab3abb0
chrom_52cdc0cd,13,14508.6661,chrom_b544760c,chrom_b342f565
chrom_5686fbc5,13,14508.6661,chrom_b544760c,chrom_8248a7e9
chrom_b544760c,0,13956.6721,NONE,NONE
chrom_ac890fcf,14,14110.7602,chrom_9748a5d7,chrom_15b076ba
chrom_a0ace679,14,14136.0829,chrom_9748a5d7,chrom_7031e49b
chrom_47f96652,14,14136.2835,chrom_9748a5d7,chrom_7031e49b
chrom_6fdc1132,14,14142.8059,chrom_7031e49b,chrom_796919a2
chrom_bd9c2df5,14,14164.4696,chrom_15b076ba,chrom_b0fb6993
chrom_9399a51c,14,14508.6661,chrom_b544760c,chrom_b0fb6993
chrom_ff773bf6,14,14508.6661,chrom_b544760c,chrom_796919a2
chrom_7be9898a,14,14508.6661,chrom_dc29e770,chrom_796919a2
chrom_b6fde57e,14,14508.6661,chrom_b544760c,chrom_7031e49b
chrom_b544760c,0,13956.6721,NONE,NONE
chrom_692e480b,15,14136.0829,chrom_a0ace679,chrom_47f96652
chrom_9e3568df,15,14136.2835,chrom_ac890fcf,chrom_a0ace679
chrom_4c9bd733,15,14136.2835,chrom_47f96652,chrom_b6fde57e
chrom_947f2505,15,14136.2835,chrom_ac890fcf,chrom_6fdc1132
chrom_11cc8238,15,14136.2835,chrom_ac890fcf,chrom_ff773bf6
chrom_c310dd95,15,14136.2835,chrom_47f96652,chrom_7be9898a
chrom_130b0d8e,15,14136.2835,chrom_ac890fcf,chrom_47f96652
chrom_b2d709b2,15,14142.8059,chrom_6fdc1132,chrom_b6fde57e
chrom_f4c02aa6,15,14508.6661,chrom_b544760c,chrom_47f96652
chrom_b544760c,0,13956.6721,NONE,NONE
chrom_2c01e168,16,14042.9048,chrom_130b0d8e,chrom_9e3568df
chrom_998effc3,16,14136.0829,chrom_692e480b,chrom_11cc8238
chrom_59722447,16,14136.0829,chrom_692e480b,chrom_947f2505
chrom_05a8437b,16,14136.2835,chrom_947f2505,chrom_130b0d8e
chrom_c44d0743,16,14136.2835,chrom_c310dd95,chrom_130b0d8e
chrom_27cf1782,16,14136.2835,chrom_947f2505,chrom_c310dd95
chrom_9fbfc331,16,14508.6661,chrom_b544760c,chrom_11cc8238
chrom_98e728c0,16,14508.6661,chrom_b544760c,chrom_b2d709b2
chrom_9531e1f8,16,14508.6661,chrom_b544760c,chrom_692e480b
chrom_b544760c,0,13956.6721,NONE,NONE
chrom_ba947934,17,14042.9048,chrom_2c01e168,chrom_9531e1f8
chrom_c02e318d,17,14042.9048,chrom_2c01e168,chrom_27cf1782
chrom_9d232dd5,17,14042.9048,chrom_2c01e168,chrom_c44d0743
chrom_30c39408,17,14136.0829,chrom_59722447,chrom_05a8437b
chrom_36288a36,17,14136.2835,chrom_c44d0743,chrom_27cf1782
chrom_d673b5f3,17,14508.6661,chrom_b544760c,chrom_05a8437b
chrom_f890675f,17,14508.6661,chrom_b544760c,chrom_2c01e168
chrom_af20f0af,17,14508.6661,chrom_b544760c,chrom_998effc3
chrom_87578114,17,14508.6661,chrom_b544760c,chrom_27cf1782
chrom_6c82b030,18,13873.6514,chrom_9d232dd5,chrom_30c39408
chrom_b544760c,0,13956.6721,NONE,NONE
chrom_c2e20783,18,14035.2521,chrom_9d232dd5,chrom_ba947934
chrom_9f661b1f,18,14042.9048,chrom_c02e318d,chrom_36288a36
chrom_8325a856,18,14042.9048,chrom_ba947934,chrom_af20f0af
chrom_fb6929f2,18,14042.9048,chrom_ba947934,chrom_af20f0af
