Best_Parent,Worst_Parent,Child_Cost,Status,Worst_Parent_Smooth
168.16127417466083,397.5801795290075,382.41426538768246,Interpolation,746.4116215924729
172.83892739385203,406.28525885204834,198.8327717479749,Interpolation,742.6543598817842
177.05267930579612,308.5133787820256,310.0996845356541,Destructive,740.5755181279541
184.45876315385044,1157.8723919133831,705.1882220728,Interpolation,737.9715517433289
186.20508466189557,872.7997868787965,459.9290165023008,Interpolation,735.2381284013014
187.72409695696302,428.6010486265744,358.26796825489043,Interpolation,733.0703493205928
188.168973572077,472.4142230454794,389.0893661878551,Interpolation,731.094728330835
189.5646772818937,392.2192536788074,242.85136422682456,Interpolation,734.3278924488845
189.7416821578193,455.19155870767713,344.05028048988413,Interpolation,736.3669568558719
190.65983569243093,1157.8723919133831,722.569434939337,Interpolation,739.5125198040623
193.60439867395576,573.3385299752106,334.7749309633957,Interpolation,742.6114818196869
194.2368780725877,1157.8723919133831,709.325259014309,Interpolation,746.2934918307428
194.74743187084275,507.03200799600575,230.15457065239045,Interpolation,745.58837255293
195.19393136604978,1157.8723919133831,754.7969706436054,Interpolation,743.7874595290915
195.1976261080475,505.34174763533713,371.43363544977325,Interpolation,746.7664878196259
196.75731428644383,346.0395423962956,244.7241808591247,Interpolation,749.7029585631528
196.7881200401129,992.2769590556521,569.8140811393582,Interpolation,747.8591259054962
197.24318995990703,951.6719764636557,549.1446676341693,Interpolation,746.689059956393
197.53026698212972,1157.8723919133831,688.2049335883584,Interpolation,749.5644678721762
197.96900325295655,1157.8723919133831,747.3815921796927,Interpolation,747.1148946017038
198.19189303630236,1157.8723919133831,716.227798307915,Interpolation,746.1294473980184
198.74724920598777,491.0700060593926,222.16959406594708,Interpolation,748.9496045522332
198.97545762365874,486.5286709451851,407.91509329796946,Interpolation,747.932912247223
199.5447086920605,1157.8723919133831,697.3827033280884,Interpolation,750.7027735963187
199.79057088435542,1157.8723919133831,724.8316102510761,Interpolation,751.9013590611362
199.88075996109237,296.31575023164714,276.9328945959527,Interpolation,750.6448278553503
201.70081194032912,545.4963722173684,282.9724093492294,Interpolation,753.3416991405028
202.17251927342178,479.9441829080149,277.4107698346289,Interpolation,756.0030852771665
202.17458162488163,1157.8723919133831,731.1274374883305,Interpolation,758.6296820525665
202.185041900717,1157.8723919133831,734.7833291226698,Interpolation,756.0402088644986
202.3049216182548,1157.8723919133831,667.7713707452173,Interpolation,758.6326745615881
202.31235500317024,383.8650007807163,176.43920775919298,Synergy,757.1820268803318
202.7618639068703,624.3447741079995,382.0558015155626,Interpolation,759.7341948104786
203.1096088031553,328.4422594576268,289.9530936955791,Interpolation,762.2540568174591
203.14943366842044,1157.8723919133831,745.6039852193418,Interpolation,764.7422224469931
204.28659367249264,708.9385311194442,463.91246995544157,Interpolation,763.8240940291281
204.31603670880764,1157.8723919133831,769.2311262991798,Interpolation,766.2715989849308
204.48303357244106,1157.8723919133831,684.8147636234874,Interpolation,763.6542075553987
204.8630926443234,1157.8723919133831,734.9518483483594,Interpolation,766.0727240238525
205.40139197389738,1157.8723919133831,746.1299688223258,Interpolation,766.9957944710678
205.51572448578185,323.6355754564256,216.72210833914158,Interpolation,769.3647435464759
206.0371100635824,563.1690921826176,367.3432709956318,Interpolation,768.4567351804969
206.1933233614928,530.4037390158544,308.3973193567002,Interpolation,767.0621828574263
206.70314027460861,515.5528423486569,325.9597816208394,Interpolation,769.388434101807
206.71831111522664,1157.8723919133831,767.8398797413688,Interpolation,768.7531436031513
206.91822987151943,401.021483980433,272.75453743517335,Interpolation,767.3173473109878
206.93644440829615,1157.8723919133831,728.5936778843286,Interpolation,767.6552074808496
207.6139341321192,1157.8723919133831,702.3493897277544,Interpolation,769.9239120415039
207.99379393404854,348.6592483220564,266.66734582875864,Interpolation,771.5508401555227
208.10805242423152,1157.8723919133831,721.228721020404,Interpolation,769.2104358507893
208.40781271971048,1157.8723919133831,711.5310303633586,Interpolation,767.936837852303
208.71338975773858,1157.8723919133831,704.2442950995912,Interpolation,770.1523807731046
209.28337849236803,1157.8723919133831,671.5355003521962,Interpolation,772.3428893106203
209.4302764158954,509.9897371006067,273.2870530149795,Interpolation,770.8772852078989
209.8542699233052,478.0342006240427,353.49006235494113,Interpolation,769.0975131649635
210.29742625105928,370.86106941065725,285.7259474605668,Interpolation,766.2730641733452
210.31152622909698,503.5599570595746,420.3824902473629,Interpolation,764.9908024982063
210.31494873521592,623.402284240186,425.1318308925266,Interpolation,762.3750251724402
210.3230760157113,773.1183123431329,349.0384132873394,Interpolation,760.3906387220003
210.52532094589736,454.9179117966971,358.05363048525095,Interpolation,758.737257855889
210.83567195803028,458.9420210331132,380.6325544561304,Interpolation,758.0178080830951
210.86233548303775,369.638609526501,299.2421077380043,Interpolation,755.6037713606618
210.94467308808422,273.163481246554,249.7435194251351,Interpolation,757.7549404545266
211.12968218037616,1157.8723919133831,748.7740797747167,Interpolation,759.883224770797
211.23646613352904,544.0836422864475,245.4374388040534,Interpolation,758.968089875416
211.53654756785852,395.43008408206776,403.94459984853256,Destructive,757.6552999802967
211.54567345492276,1157.8723919133831,729.1236335055719,Interpolation,759.7506774249725
211.67773010858662,434.9006067943566,358.14209537421345,Interpolation,759.0420809539005
211.73101145033883,385.55946887117705,224.3001004167485,Interpolation,757.1920356539073
211.7589340460068,802.8712268131957,603.0569747009827,Interpolation,759.2573983150387
211.88006466281092,843.4478624799435,538.872355602341,Interpolation,761.3015777693892
212.2076802048466,1157.8723919133831,697.9848076320798,Interpolation,763.3248982497156
212.2252866132311,263.83135585579635,211.9599831512952,Synergy,763.6746320810472
212.42950944397788,893.8620278787193,541.9308281274446,Interpolation,762.0476058485546
212.43942627858272,1157.8723919133831,745.5190100447693,Interpolation,760.474777094158
212.4689120933288,548.7679603032159,493.39235921318596,Interpolation,759.9476437753642
212.48301376076216,1157.8723919133831,732.3006010506306,Interpolation,761.9273688904788
213.12474352351228,434.3446522921844,369.53425732310245,Interpolation,761.5363152631744
213.61918147466707,1157.8723919133831,685.2149903605614,Interpolation,759.7072499473229
213.90790767848688,332.93775914943376,236.98333625451576,Interpolation,761.6590398589212
214.1781006997743,516.665065362439,310.6708393178264,Interpolation,760.7869957775887
214.44002981654785,518.5026951699202,284.1856515900683,Interpolation,758.4806848133954
214.50319823420477,409.35189058519757,383.4674389839042,Interpolation,757.2195406830692
214.72951500603565,1157.8723919133831,722.9722566609319,Interpolation,755.1537107014329
214.78049663509864,396.8382039298366,382.8437560590495,Interpolation,755.2800421960532
214.8025668752129,1157.8723919133831,684.749499614964,Interpolation,754.2249451604521
214.8910465919998,432.7202658091672,342.4487447074886,Interpolation,756.1379662351106
215.1039550719003,494.77076409352475,256.48111565146525,Interpolation,758.0329399411402
215.10795979165044,507.54976294079887,396.0305642274037,Interpolation,757.2132863997994
215.37184912429683,757.6566931845001,429.5899689417477,Interpolation,757.4762524925962
215.39104386835254,1157.8723919133831,755.6540841872143,Interpolation,759.3385601178092
215.56572570566078,970.9619634009949,760.7321287211246,Interpolation,757.5680231130566
215.645284066753,741.0053027632334,608.5270496618884,Interpolation,756.7772049962878
216.26631214499616,1157.8723919133831,743.5267875699758,Interpolation,755.6707667685316
216.4721051879122,1157.8723919133831,720.7369108793253,Interpolation,757.5073038696498
216.73671927594523,1157.8723919133831,758.8839194612739,Interpolation,755.7325604019314
216.95384153939392,1157.8723919133831,772.1740812815293,Interpolation,753.8836463772433
217.15605559553302,340.0816901763526,273.7283422694319,Interpolation,752.1183546692647
217.22849921257813,1157.8723919133831,732.1740493663511,Interpolation,750.1489880776896
217.2525778206048,447.833456728733,273.76291507808963,Interpolation,751.9691818448134
217.39617800670538,477.2802172542147,384.33800936382704,Interpolation,750.436820440788
217.55040039845733,1157.8723919133831,704.3456280300795,Interpolation,749.2996498092563
217.60088145269987,524.6438646122094,410.79754779534335,Interpolation,751.0995297304198
217.60451640987407,517.9051000409456,379.8630287334513,Interpolation,752.8836212312224
217.92915940736123,1157.8723919133831,794.7731655391106,Interpolation,752.9778378201879
218.00641328668505,464.42770922597845,311.1332163393207,Interpolation,754.7382489249409
218.02734259538153,447.8466878426196,352.8953813625934,Interpolation,754.4100614282041
218.04094889577664,1157.8723919133831,746.7590837925367,Interpolation,752.5707511187941
218.46123097301324,832.5808589575734,497.87179571298486,Interpolation,754.3102431393717
218.62874458299967,412.1857656220102,358.1222877071733,Interpolation,756.0348677067819
218.78842064915528,1157.8723919133831,722.555870953878,Interpolation,755.3864054730212
218.85628931471587,1157.8723919133831,742.7177621066633,Interpolation,753.4904335491008
219.1393390588177,413.24161205292467,281.14920081884077,Interpolation,751.8326354074293
219.49845789229957,1157.8723919133831,714.5376645297735,Interpolation,751.5511945538923
219.51631468516024,1157.8723919133831,733.4396088592628,Interpolation,753.251283245773
219.54426987621244,477.54673173664594,445.78285625725323,Interpolation,751.9259909733541
219.63512824930027,329.36164112889253,232.47146332730279,Interpolation,751.3336297028793
219.8045853923801,475.919020588936,363.53787696678074,Interpolation,749.5518296436945
219.8249947484639,1157.8723919133831,706.7651281788033,Interpolation,748.742335085908
