Iteration,RPI_WaitTime,RPI_Operator,Coverage_Shift,Demand_Capture,Frechet_Div,MSE_Div,Synergy
0,-2.6755596741409002,0.06888088805592422,0.9168958123718464,0.681744058598658,0.046455026169784155,905.2607606467775,False
1,0.6127808635531333,0.5407902231737748,1.2172141710992088,1.1292953435226534,0.03956133656924135,1294.693691641995,False
2,0.6859150055462603,0.2934567408410693,1.0905951579168045,0.9151142183335427,0.03793881634479642,454.3384194944204,False
3,1.387767371487418,0.42654202326153084,1.2832477404280225,1.0020223772941559,0.03645102238007837,1265.087679344113,False
4,-1.310070124546756,-5.724955296729543,0.6230031454522289,0.8027143775316503,0.04601304236753948,547.7112275108176,True
5,-0.6848354263226388,0.3527778874540634,0.7752511927397258,0.9254740518962076,0.0619903066847872,1323.1610111591892,False
6,1.7004824823692937,0.5777113256022449,1.3646990770295118,1.0406763538967947,0.02043174797675129,1446.1398314734683,False
7,23.793132266601756,0.40042938705985376,1.357282967084621,0.9682270718903262,0.04188060201540329,1283.3067638351172,False
8,0.8026731478558745,-1.247785368321147,1.2472255916057362,0.6909496957177154,0.03108606667785736,470.2801184240492,False
9,0.7115050175876318,0.6679993089918566,1.2312741103194682,1.1635758613570397,0.040510979426982514,1099.9772261443863,False
10,0.9819507793872245,0.35950130918272327,1.1134000663195658,0.9051128075924909,0.06423093387299486,828.9683443406968,False
11,2.527895701411541,-0.11071177066590768,1.3066256549603235,0.7834276245477454,0.04705895274366448,1519.0161694374858,False
12,1.5130502371706593,1.0730482585193015,1.3932542964053236,1.455381010340003,0.10372101549885386,520.3826007743111,False
13,0.3606692949224973,0.34801158519408987,1.0200292446315544,0.9320633882119064,0.03821671321012088,1376.6795718515145,False
14,0.3553643790719277,1.4273342482167914,0.8623357071127399,1.3123834518958493,0.03550409287015212,799.3623320428148,False
15,0.649946404678085,0.6821907337945939,1.232195997831041,1.1887306046430506,0.04257778362637337,1249.1459804144843,False
16,-0.6766029133533548,0.9133232043034532,0.6063415232415313,1.058652664506759,0.06707713046128884,457.7544978364837,False
17,0.627543527169913,0.4115744334098954,1.1706905178794538,0.9861920715765827,0.04072811363241214,1356.1831017991346,False
18,0.1417739254084167,0.9480842862905009,0.7884314917688549,1.1983209557636423,0.0981517295781719,621.7262582555227,False
19,0.008266229132069173,0.3859164912863013,0.9600534022442819,0.963055961199178,0.04661395836343617,1246.8685948531086,False
20,1.7250477257149677,0.05621493229243444,1.2966678204671098,0.8214311926605504,0.04865857275109141,1098.8385333636984,False
21,0.30691963199269623,0.4491931322653721,0.9831783023312654,1.0104600573914653,0.0371918887195813,1295.8323844226827,False
22,9.340405540747062,0.16112766826421998,1.1744968316162065,0.8694053098056554,0.05848676970764384,881.3482122523343,False
23,1.2325287606339124,0.488490426555116,1.1786334819376336,1.0254551524328448,0.03740247756074351,1170.5761785470281,False
