UID,Generation,Cost,Parent_A,Parent_B
chrom_9d4bdb7d,0,4431.4995,NONE,NONE
chrom_9bffcdd9,0,29288.6615,NONE,NONE
chrom_bf19bb88,0,33465.3258,NONE,NONE
chrom_db9b26b5,0,40176.1438,NONE,NONE
chrom_9d4bdb7d,0,4431.4995,NONE,NONE
chrom_624438eb,1,34055.7339,chrom_9d4bdb7d,chrom_9bffcdd9
chrom_8ade3313,1,36645.781,chrom_9d4bdb7d,chrom_9bffcdd9
chrom_6ed1323a,1,44752.6311,chrom_9d4bdb7d,chrom_9bffcdd9
chrom_2ce6e400,2,2514.7632,chrom_624438eb,chrom_8ade3313
chrom_9d4bdb7d,0,4431.4995,NONE,NONE
chrom_0e042de0,2,20399.0716,chrom_9d4bdb7d,chrom_8ade3313
chrom_9cbac00c,2,60671.818,chrom_9d4bdb7d,chrom_624438eb
