route_count,total_fleet,sample_size,route_index,route_id,allocation_mean,allocation_std,allocation_cv,demand_mean,demand_std,demand_cv
8,80,150,0,R000,13.28571429,1.38013112,0.10388084,17852.71428571,3294.10547869,0.18451567
8,80,150,1,R001,10.14285714,1.06904497,0.10539880,10358.57142857,2196.53415310,0.21204991
8,80,150,2,R002,6.71428571,1.11269728,0.16572087,4836.42857143,1588.99442595,0.32854707
8,80,150,3,R003,4.14285714,1.57359158,0.37983245,1876.57142857,1086.16034070,0.57880043
8,80,150,4,R004,9.85714286,1.57359158,0.15963973,10102.14285714,3174.85298497,0.31427520
8,80,150,5,R005,12.71428571,0.75592895,0.05945509,16728.85714286,2204.30339931,0.13176653
8,80,150,6,R006,16.57142857,1.51185789,0.09123280,27952.71428571,4611.06071363,0.16495932
8,80,150,7,R007,6.57142857,1.81265393,0.27583864,4600.00000000,2032.53224657,0.44185484
8,80,200,0,R000,12.14285714,1.06904497,0.08803900,20573.85714286,3291.77973284,0.15999818
8,80,200,1,R001,10.57142857,1.13389342,0.10726019,16215.57142857,2964.59743513,0.18282411
8,80,200,2,R002,6.85714286,0.89973541,0.13121141,6438.85714286,1717.40738989,0.26672550
8,80,200,3,R003,4.57142857,0.78679579,0.17211158,2991.42857143,1039.21394287,0.34739721
8,80,200,4,R004,10.85714286,0.69006556,0.06355867,16427.42857143,2702.94129034,0.16453831
8,80,200,5,R005,12.85714286,1.06904497,0.08314794,24084.71428571,4406.79224661,0.18297050
8,80,200,6,R006,15.28571429,0.75592895,0.04945330,32256.14285714,2858.13222394,0.08860738
8,80,200,7,R007,6.85714286,0.69006556,0.10063456,6671.28571429,1306.26180560,0.19580361
8,80,250,0,R000,11.71428571,0.48795004,0.04165427,25113.42857143,1808.82059707,0.07202603
8,80,250,1,R001,9.71428571,1.11269728,0.11454237,16905.57142857,3388.81763339,0.20045567
8,80,250,2,R002,7.00000000,0.81649658,0.11664237,8193.57142857,1751.39114774,0.21375186
8,80,250,3,R003,4.57142857,0.53452248,0.11692679,3477.71428571,1087.98846720,0.31284585
8,80,250,4,R004,11.14285714,0.89973541,0.08074549,22176.85714286,2794.98577388,0.12603164
8,80,250,5,R005,13.14285714,0.37796447,0.02875817,31059.14285714,2607.80012198,0.08396240
8,80,250,6,R006,15.57142857,0.97590007,0.06267248,42429.85714286,3698.52733885,0.08716804
8,80,250,7,R007,7.14285714,1.21498579,0.17009801,9194.71428571,3413.86543937,0.37128565
8,80,300,0,R000,12.71428571,0.48795004,0.03837809,34878.28571429,4503.10736101,0.12910919
8,80,300,1,R001,10.14285714,0.69006556,0.06803463,20987.14285714,2482.69480126,0.11829599
8,80,300,2,R002,6.57142857,0.53452248,0.08134038,8955.14285714,1052.13567385,0.11748955
8,80,300,3,R003,4.14285714,0.89973541,0.21717751,3650.14285714,1306.96192607,0.35805775
8,80,300,4,R004,10.57142857,0.53452248,0.05056294,24610.14285714,3044.78627759,0.12372079
8,80,300,5,R005,13.28571429,0.75592895,0.05689788,37639.28571429,5265.15747515,0.13988463
8,80,300,6,R006,15.71428571,0.95118973,0.06053026,51700.00000000,5199.79041244,0.10057622
8,80,300,7,R007,6.85714286,0.89973541,0.13121141,9681.71428571,2430.12645174,0.25100167
8,80,350,0,R000,12.57142857,1.13389342,0.09019607,38110.71428571,5421.78865672,0.14226416
8,80,350,1,R001,10.57142857,0.53452248,0.05056294,27316.85714286,3309.21876121,0.12114200
8,80,350,2,R002,6.85714286,0.69006556,0.10063456,11256.85714286,1551.98318597,0.13787003
8,80,350,3,R003,4.28571429,0.75592895,0.17638342,4757.57142857,1037.90427580,0.21815842
8,80,350,4,R004,10.42857143,0.53452248,0.05125558,27530.85714286,4392.50541372,0.15954844
8,80,350,5,R005,13.28571429,0.75592895,0.05689788,42809.00000000,4226.14584068,0.09872097
8,80,350,6,R006,15.42857143,0.78679579,0.05099602,58115.85714286,5340.32943517,0.09189109
8,80,350,7,R007,6.57142857,0.78679579,0.11972979,9702.57142857,2358.21054030,0.24305006
8,80,400,0,R000,12.71428571,0.48795004,0.03837809,44769.28571429,4781.93896219,0.10681294
8,80,400,1,R001,10.42857143,0.53452248,0.05125558,30599.71428571,2569.66844257,0.08397688
8,80,400,2,R002,6.57142857,0.53452248,0.08134038,12348.85714286,1816.28379102,0.14708112
8,80,400,3,R003,4.14285714,0.69006556,0.16656755,4659.57142857,1278.24356797,0.27432642
8,80,400,4,R004,11.00000000,0.00000000,0.00000000,34125.71428571,1689.48855321,0.04950779
8,80,400,5,R005,12.85714286,0.37796447,0.02939724,46519.28571429,4745.65336964,0.10201475
8,80,400,6,R006,15.42857143,0.78679579,0.05099602,67729.14285714,7605.37306621,0.11229100
8,80,400,7,R007,6.85714286,0.89973541,0.13121141,13287.14285714,4057.09068293,0.30533958
8,80,450,0,R000,12.14285714,0.69006556,0.05682893,45782.85714286,4194.09256886,0.09160836
8,80,450,1,R001,10.57142857,0.53452248,0.05056294,35763.00000000,3984.22522790,0.11140635
8,80,450,2,R002,6.42857143,0.53452248,0.08314794,13350.14285714,1235.53408540,0.09254838
8,80,450,3,R003,4.42857143,0.53452248,0.12069863,6077.00000000,1518.08761275,0.24980872
8,80,450,4,R004,11.14285714,0.89973541,0.08074549,38061.42857143,6115.20686096,0.16066677
8,80,450,5,R005,13.00000000,0.57735027,0.04441156,52195.71428571,5030.11201712,0.09637021
8,80,450,6,R006,15.57142857,0.78679579,0.05052817,77243.14285714,7180.13392235,0.09295497
8,80,450,7,R007,6.71428571,1.11269728,0.16572087,13807.57142857,3891.77529572,0.28185806
8,80,500,0,R000,12.42857143,0.53452248,0.04300756,54821.85714286,4841.56752952,0.08831455
8,80,500,1,R001,10.14285714,0.69006556,0.06803463,36425.71428571,5013.17287136,0.13762730
