Generation,Global_Best_Cost,Population_Mean_Cost,Active_Mutation_Rate,Stagnation_Counter
2,14254.5628,14507.0321,0.775,0
3,14063.9032,14416.899,0.75,0
4,14063.9032,14272.6487,0.725,1
5,14063.9032,14271.7543,0.7005,2
6,13916.1169,14165.9691,0.677,0
7,13916.1169,14144.359,0.65,1
8,13916.1169,14122.2824,0.6255,2
9,13916.1169,14127.3486,0.602,3
10,13916.1169,14121.9199,0.5795,4
11,13745.9616,14065.2477,0.558,0
12,13667.7294,13899.3719,0.525,0
13,13667.7294,13768.8635,0.5,1
14,13667.7294,13729.7622,0.4755,2
15,13667.7294,13725.2246,0.452,3
16,13629.1159,13694.5116,0.4295,0
17,13629.1159,13670.6407,0.4,1
18,13578.923,13669.8833,0.3755,0
19,13578.923,13657.1044,0.35,1
20,13578.923,13642.936,0.3255,2
21,13578.923,13614.6753,0.302,3
22,13578.923,13615.4704,0.2795,4
23,13578.923,13619.2637,0.258,5
24,13578.923,13619.2637,0.2375,6
25,13578.923,13617.0558,0.218,7
26,13578.923,13618.7838,0.1995,8
27,13578.923,13613.3201,0.182,9
28,13518.3486,13604.9662,0.1655,0
29,13518.3486,13554.8709,0.1,1
30,13500.8254,13516.5962,0.0755,0
31,13500.8254,13513.0916,0.05,1
