Generation,Global_Best_Cost,Population_Mean_Cost,Active_Mutation_Rate,Stagnation_Counter
2,16078.5097,16303.3929,0.775,1
3,15646.6009,16229.2563,0.7504,0
4,15646.6009,16118.6332,0.725,1
5,15646.6009,16061.8728,0.7004,2
6,15646.6009,16426.9637,0.6766,3
7,15646.6009,16118.3335,0.6535,4
8,15646.6009,16360.9794,0.6312,5
9,15646.6009,15959.3618,0.6097,6
10,15646.6009,15880.8066,0.589,7
11,15646.6009,16244.9469,0.5691,8
12,15495.5756,15779.584,0.5499,0
13,15495.5756,15678.3629,0.5,1
14,15495.5756,15727.685,0.4754,2
15,15490.5784,15503.7635,0.4516,0
16,15490.5784,15506.5517,0.425,1
17,15485.5614,15503.0001,0.4004,0
18,15403.3075,15493.1023,0.375,0
19,15354.7996,15475.5486,0.35,0
20,15314.2154,15458.7013,0.325,0
21,15314.2154,15399.2557,0.3,1
22,15314.2154,15351.211,0.2754,2
23,15314.2154,15350.8606,0.2516,3
24,15314.2154,15346.1871,0.2285,4
25,15314.2154,15888.9821,0.2062,5
26,15314.2154,15702.082,0.1847,6
27,15314.2154,16246.3705,0.164,7
28,15314.2154,16792.3654,0.1441,8
29,15314.2154,16792.3654,0.1249,9
30,15314.2154,16976.0503,0.1065,10
31,15314.2154,16976.0503,0.0889,11
