UID,Generation,Cost,Parent_A,Parent_B
chrom_6e4c602b,0,16078.5097,NONE,NONE
chrom_f7b8c9d3,0,16154.1964,NONE,NONE
chrom_4356deab,0,16179.7661,NONE,NONE
chrom_77f50243,0,16424.0607,NONE,NONE
chrom_b14c9427,0,16436.8261,NONE,NONE
chrom_3c18a706,0,16520.1535,NONE,NONE
chrom_6407ebff,0,16590.4022,NONE,NONE
chrom_cb8e0ef8,0,16794.3305,NONE,NONE
chrom_66f6a260,0,16852.7927,NONE,NONE
chrom_0009b42e,0,18213.3316,NONE,NONE
chrom_6e4c602b,0,16078.5097,NONE,NONE
chrom_bffafcf4,1,16111.8113,chrom_4356deab,chrom_cb8e0ef8
chrom_e18889ec,1,16229.1924,chrom_b14c9427,chrom_3c18a706
chrom_b8886362,1,16232.5154,chrom_b14c9427,chrom_3c18a706
chrom_b5207b05,1,16290.4135,chrom_6e4c602b,chrom_f7b8c9d3
chrom_b50bb261,1,16294.6527,chrom_77f50243,chrom_b14c9427
chrom_97276690,1,16364.9399,chrom_77f50243,chrom_3c18a706
chrom_74b12001,1,16434.7302,chrom_3c18a706,chrom_cb8e0ef8
chrom_059aa869,1,16452.8914,chrom_6e4c602b,chrom_6407ebff
chrom_0d70a1ea,1,16544.272,chrom_6e4c602b,chrom_77f50243
chrom_affde75d,2,15646.6009,chrom_bffafcf4,chrom_b8886362
chrom_9a168319,2,16012.1544,chrom_b8886362,chrom_97276690
chrom_6e4c602b,0,16078.5097,NONE,NONE
chrom_f68c1155,2,16271.765,chrom_b8886362,chrom_b50bb261
chrom_9d421910,2,16281.7237,chrom_e18889ec,chrom_74b12001
chrom_e570f089,2,16290.4135,chrom_6e4c602b,chrom_b5207b05
chrom_ab737366,2,16371.0714,chrom_b5207b05,chrom_b50bb261
chrom_35dbdef6,2,16400.2196,chrom_6e4c602b,chrom_e18889ec
chrom_34214276,2,16400.2196,chrom_6e4c602b,chrom_b8886362
chrom_5cc54567,2,16539.8857,chrom_b50bb261,chrom_74b12001
chrom_affde75d,2,15646.6009,chrom_bffafcf4,chrom_b8886362
chrom_8444eeed,3,15669.6426,chrom_affde75d,chrom_9a168319
chrom_99303a54,3,15710.7148,chrom_affde75d,chrom_e570f089
chrom_1592ad2b,3,16122.7397,chrom_affde75d,chrom_9d421910
chrom_331c00d0,3,16176.5954,chrom_6e4c602b,chrom_9d421910
chrom_cf03f6a2,3,16245.2415,chrom_9a168319,chrom_9d421910
chrom_681ab99a,3,16285.0467,chrom_f68c1155,chrom_9d421910
chrom_94fe5d44,3,16290.4135,chrom_6e4c602b,chrom_e570f089
chrom_83d7dd35,3,16326.906,chrom_9a168319,chrom_e570f089
chrom_f789b636,3,16712.4312,chrom_6e4c602b,chrom_f68c1155
chrom_affde75d,2,15646.6009,chrom_bffafcf4,chrom_b8886362
chrom_fe79b8d6,4,15710.7148,chrom_affde75d,chrom_99303a54
chrom_e93ab301,4,15923.4693,chrom_99303a54,chrom_94fe5d44
chrom_9c0c9648,4,15945.7998,chrom_8444eeed,chrom_cf03f6a2
chrom_8b5a5bc1,4,15997.568,chrom_1592ad2b,chrom_681ab99a
chrom_86bf97f9,4,16005.9783,chrom_1592ad2b,chrom_681ab99a
chrom_fcd3c229,4,16047.22,chrom_99303a54,chrom_331c00d0
chrom_5f2d0be0,4,16075.0146,chrom_affde75d,chrom_331c00d0
chrom_98c2bb3b,4,16402.963,chrom_99303a54,chrom_1592ad2b
chrom_9b9a1431,4,16863.3991,chrom_94fe5d44,chrom_83d7dd35
chrom_affde75d,2,15646.6009,chrom_bffafcf4,chrom_b8886362
chrom_fd44ae24,5,15958.7945,chrom_e93ab301,chrom_9c0c9648
chrom_a651ad10,5,16075.0146,chrom_affde75d,chrom_fcd3c229
