UID,Generation,Cost,Parent_A,Parent_B
chrom_4e0707ea,0,4431.4995,NONE,NONE
chrom_f44bad29,0,29288.6615,NONE,NONE
chrom_5079cade,0,33465.3258,NONE,NONE
chrom_f8f08a6f,0,40176.1438,NONE,NONE
chrom_4e0707ea,0,4431.4995,NONE,NONE
chrom_74850dcf,1,34055.7339,chrom_4e0707ea,chrom_f44bad29
chrom_fab05bb0,1,36645.781,chrom_4e0707ea,chrom_f44bad29
chrom_1578d066,1,44752.6311,chrom_4e0707ea,chrom_f44bad29
chrom_5e69de2b,2,2514.7632,chrom_74850dcf,chrom_fab05bb0
chrom_4e0707ea,0,4431.4995,NONE,NONE
chrom_080f0ec1,2,20399.0716,chrom_4e0707ea,chrom_fab05bb0
chrom_80e5c28a,2,60671.818,chrom_4e0707ea,chrom_74850dcf
