UID,Generation,Cost,Parent_A,Parent_B
chrom_01e673b9,0,0.0,NONE,NONE
chrom_caf92ca5,0,228.5004,NONE,NONE
chrom_b9ee6b37,0,35937.5886,NONE,NONE
chrom_d17efcbe,0,40420.0188,NONE,NONE
chrom_01e673b9,0,0.0,NONE,NONE
chrom_d5db9e24,1,0.0,chrom_01e673b9,chrom_caf92ca5
chrom_19799589,1,2995.3856,chrom_caf92ca5,chrom_b9ee6b37
chrom_65e0db83,1,36948.3814,chrom_caf92ca5,chrom_b9ee6b37
chrom_01e673b9,0,0.0,NONE,NONE
chrom_b8683a44,2,0.0,chrom_d5db9e24,chrom_19799589
chrom_67861503,2,8980.1795,chrom_d5db9e24,chrom_19799589
chrom_9b14acc7,2,26387.3884,chrom_d5db9e24,chrom_01e673b9
