num_routes,completed_passengers,incomplete_passengers,sim_ticks,scenario_fitness,expected_vs_actual_count,mean_expected_time_min,mean_actual_time_min
12,180,380,1000,2380907.437322345,180,47.50372433763168,64.04351851851851
24,212,341,1000,2441805.1553445933,212,47.91413297185695,70.52751572327044
36,201,384,1000,2392167.4115492385,201,43.59849339510197,66.52072968490879
48,207,343,1000,2277513.171167026,207,48.269236600087034,68.6658615136876
60,155,301,1000,1900877.563718006,155,45.24344390795757,68.33225806451613
