weight_tolerance,took_alternative,boarded_expected,expected_min,actual_min,delta_min,rep
0.0,False,True,2.006964177819361,3.5,1.493035822180639,0
0.0,False,True,6.212156520319762,11.0,4.787843479680238,0
0.0,False,True,5.570529881791026,7.333333333333333,1.7628034515423074,0
0.0,False,True,10.914985356250238,13.166666666666666,2.251681310416428,0
0.0,False,True,19.325063421491386,20.5,1.174936578508614,0
0.0,False,True,3.884420381455333,5.0,1.115579618544667,0
0.0,False,True,26.670128389930692,28.166666666666668,1.4965382767359756,0
0.0,False,True,2.990375742403056,6.5,3.509624257596944,0
0.0,False,True,26.88751758178218,30.833333333333332,3.9458157515511516,0
0.0,False,True,28.17337350546495,29.666666666666668,1.4932931612017164,0
0.0,False,True,19.938601182396138,28.5,8.561398817603862,0
0.0,False,True,17.636658178296514,27.0,9.363341821703486,0
0.0,False,False,6.385998664667107,6.833333333333333,0.44733466866622607,0
0.0,False,True,34.10337757576236,38.5,4.396622424237641,0
0.0,False,True,19.686296502168872,21.5,1.8137034978311277,0
0.0,False,True,32.292581864894046,32.666666666666664,0.37408480177261794,0
0.0,False,True,30.16378215555358,34.166666666666664,4.002884511113084,0
0.0,False,False,38.294091856451494,38.666666666666664,0.3725748102151698,0
0.0,False,True,28.384724851648993,31.333333333333332,2.9486084816843388,0
0.0,False,True,3.2961575002764443,9.333333333333334,6.03717583305689,0
0.0,False,True,26.958746970903416,27.5,0.541253029096584,0
0.0,False,True,16.533861879835683,19.166666666666668,2.6328047868309845,0
0.0,False,True,26.632838571420628,48.5,21.867161428579372,0
0.0,False,False,21.864051768367855,22.333333333333332,0.46928156496547757,0
0.0,False,True,38.855038781007586,43.0,4.144961218992414,0
0.0,False,True,40.29779379182746,50.166666666666664,9.868872874839205,0
0.0,False,True,9.831191465462993,13.833333333333334,4.002141867870341,0
0.0,False,True,37.13559216610682,44.5,7.364407833893182,0
0.0,False,True,33.13448336039535,40.166666666666664,7.032183306271314,0
0.0,False,True,40.624651157819784,41.166666666666664,0.5420155088468803,0
0.0,False,True,8.103125983475712,9.666666666666666,1.5635406831909542,0
0.0,False,True,5.262342297289568,6.666666666666667,1.4043243693770986,0
0.0,False,True,26.455131444936615,30.333333333333332,3.878201888396717,0
0.0,False,True,40.15551112104249,57.0,16.844488878957513,0
0.0,False,True,13.781451733736363,14.333333333333334,0.551881599596971,0
0.0,False,True,23.2022122537348,35.666666666666664,12.464454412931865,0
0.0,False,True,20.186521668973214,53.5,33.313478331026786,0
0.0,False,True,15.468143662321827,18.0,2.531856337678173,0
0.0,False,True,34.29640837169395,35.5,1.2035916283060502,0
0.0,False,True,15.361261295168113,16.5,1.138738704831887,0
0.0,False,True,49.82384309110301,55.833333333333336,6.009490242230328,0
0.0,False,True,15.855678366985064,16.833333333333332,0.9776549663482683,0
0.0,False,True,6.27958030662969,7.5,1.2204196933703102,0
0.0,False,True,13.198694597119607,19.0,5.801305402880393,0
0.0,False,True,30.24930704578688,32.833333333333336,2.5840262875464575,0
0.0,False,True,20.033929334759193,47.0,26.966070665240807,0
0.0,False,True,59.28832585743674,66.5,7.211674142563261,0
0.0,False,True,26.994002459069087,57.5,30.505997540930913,0
0.0,False,True,25.0370144589263,30.166666666666668,5.129652207740367,0
0.0,False,True,27.038200105599817,50.166666666666664,23.128466561066848,0
0.0,False,True,46.34895541550675,49.333333333333336,2.984377917826585,0
0.0,False,True,20.228925224322403,66.5,46.2710747756776,0
0.0,False,True,58.255228905584424,63.166666666666664,4.91143776108224,0
0.0,False,True,47.38698661398608,51.0,3.613013386013918,0
0.0,False,True,16.80085935980778,21.666666666666668,4.865807306858887,0
0.0,False,True,52.2688791570476,56.5,4.2311208429524,0
0.0,False,True,65.01399958935869,71.83333333333333,6.819333743974639,0
0.0,False,True,35.979897392879856,47.166666666666664,11.186769273786808,0
0.0,False,True,40.827509854790875,49.166666666666664,8.339156811875789,0
0.0,False,True,32.86308311637917,48.833333333333336,15.970250216954163,0
0.0,False,False,17.577122775429682,18.0,0.4228772245703176,0
0.0,False,True,44.20766344135017,48.833333333333336,4.625669891983165,0
0.0,False,True,52.85077984854328,55.833333333333336,2.9825534847900528,0
0.0,False,True,30.4695085365014,31.0,0.5304914634985991,0
0.0,False,True,34.601309949924975,36.833333333333336,2.232023383408361,0
0.0,False,True,42.75587122787127,55.0,12.244128772128732,0
0.0,False,True,18.577723505374202,47.833333333333336,29.255609827959134,0
0.0,False,True,50.98981525537985,63.0,12.010184744620148,0
0.0,False,True,15.180392319489748,20.666666666666668,5.48627434717692,0
0.0,False,False,49.618006634001596,50.0,0.3819933659984045,0
0.0,False,True,1.479027675674448,3.5,2.0209723243255517,0
0.0,False,True,58.44059001569394,65.0,6.559409984306058,0
0.0,False,True,55.336508992531634,67.66666666666667,12.330157674135037,0
0.0,False,True,25.062902427180163,30.666666666666668,5.603764239486505,0
0.0,False,False,57.56541950538986,58.0,0.43458049461013815,0
0.0,False,True,72.57976920761374,75.83333333333333,3.253564125719592,0
0.0,False,True,37.43205651399708,58.333333333333336,20.901276819336253,0
0.0,False,True,49.56727227973742,66.5,16.932727720262577,0
0.0,False,True,58.8806271192033,65.66666666666667,6.786039547463375,0
0.0,False,True,40.802529878708555,45.833333333333336,5.030803454624781,0
0.0,False,True,20.149140242546643,27.833333333333332,7.684193090786689,0
0.0,False,True,42.668718766129174,69.33333333333333,26.664614567204154,0
0.0,False,True,63.271329681753315,72.83333333333333,9.562003651580014,0
0.0,False,True,59.796853507657985,68.5,8.703146492342015,0
0.0,False,True,24.16822609477179,53.5,29.33177390522821,0
0.0,False,True,11.812460007891927,17.166666666666668,5.354206658774741,0
0.0,False,True,65.97340570711737,70.33333333333333,4.359927626215963,0
0.0,False,True,17.58579378850418,63.666666666666664,46.08087287816248,0
0.0,False,True,80.0533034988295,81.83333333333333,1.7800298345038357,0
0.0,False,True,40.87076879618275,49.333333333333336,8.462564537150584,0
0.0,False,True,57.73109271809035,83.33333333333333,25.602240615242977,0
0.0,False,True,34.33662215624041,37.5,3.1633778437595907,0
0.0,False,True,21.211674747636238,82.66666666666667,61.454991919030434,0
0.0,False,True,73.47122120858502,78.16666666666667,4.69544545808165,0
0.0,False,True,36.24224810171719,42.5,6.257751898282812,0
0.0,False,True,26.385089285023174,37.833333333333336,11.448244048310162,0
